,ARC039,ARC098,ARC153,ARC174,ARC224,ARC525,ARC526,ARC538,ARC621,ARC622
ARC039,1,0,0,0,0,0,0,0,0,0
ARC098,0,1,0,0,0,0,0,0,0,0
ARC153,0,0,1,0,0,0,0,0,0,0
ARC174,0,0,0,1,0,0,0,0,0,0
ARC224,0,0,0,0,1,0,0,0,0,0
ARC525,0,0,0,0,0,1,0,0,0,0
ARC526,0,0,0,0,0,0,1,0,0,0
ARC538,0,0,0,0,0,0,0,1,0,0
ARC621,0,0,0,0,0,0,0,0,1,0
ARC622,0,0,0,0,0,0,0,0,0,1
