,ARC090,ARC097,ARC169,ARC185,ARC221,ARC375,ARC508
ARC090,1,0,0,0,0,0,0
ARC097,0,1,0,0,0,0,0
ARC169,0,0,1,0,0,0,0
ARC185,0,0,0,1,0,0,0
ARC221,0,0,0,0,1,0,0
ARC375,0,0,0,0,0,1,0
ARC508,0,0,0,0,0,0,1
