,ARC007,ARC062,ARC071,ARC122,ARC149,ARC182,ARC205,ARC236,ARC409,ARC597
ARC007,1,0,0,0,0,0,0,0,0,0
ARC062,0,1,0,0,0,0,0,0,0,0
ARC071,0,0,1,0,0,0,0,0,0,0
ARC122,0,0,0,1,0,0,0,0,0,0
ARC149,0,0,0,0,1,0,0,0,0,0
ARC182,0,0,0,0,0,1,0,0,0,0
ARC205,0,0,0,0,0,0,1,0,0,0
ARC236,0,0,0,0,0,0,0,1,0,0
ARC409,0,0,0,0,0,0,0,0,1,0
ARC597,0,0,0,0,0,0,0,0,0,1
