,ARC008,ARC045,ARC060,ARC068,ARC121,ARC184,ARC365,ARC389,ARC443,ARC461,ARC550
ARC008,1,0,0,0,0,0,0,0,0,0,0
ARC045,0,1,0,0,0,0,0,0,0,0,0
ARC060,0,0,1,0,0,0,0,0,0,0,0
ARC068,0,0,0,1,0,0,0,0,0,0,0
ARC121,0,0,0,0,1,0,0,0,0,0,0
ARC184,0,0,0,0,0,1,0,0,0,0,0
ARC365,0,0,0,0,0,0,1,0,0,0,0
ARC389,0,0,0,0,0,0,0,1,0,0,0
ARC443,0,0,0,0,0,0,0,0,1,0,0
ARC461,0,0,0,0,0,0,0,0,0,1,0
ARC550,0,0,0,0,0,0,0,0,0,0,1
