,ARC053,ARC073,ARC125,ARC222,ARC250,ARC310,ARC397,ARC427,ARC457,ARC589,ARC615,ARC660
ARC053,1,0,0,0,0,0,0,0,0,0,0,0
ARC073,0,1,0,0,0,0,0,0,0,0,0,0
ARC125,0,0,1,0,0,0,0,0,0,0,0,0
ARC222,0,0,0,1,0,0,0,0,0,0,0,0
ARC250,0,0,0,0,1,0,0,0,0,0,0,0
ARC310,0,0,0,0,0,1,0,0,0,0,0,0
ARC397,0,0,0,0,0,0,1,0,0,0,0,0
ARC427,0,0,0,0,0,0,0,1,0,0,0,0
ARC457,0,0,0,0,0,0,0,0,1,0,0,0
ARC589,0,0,0,0,0,0,0,0,0,1,0,0
ARC615,0,0,0,0,0,0,0,0,0,0,1,0
ARC660,0,0,0,0,0,0,0,0,0,0,0,1
