,ARC002,ARC101,ARC194,ARC226,ARC242,ARC318,ARC336,ARC343,ARC395,ARC401,ARC561
ARC002,1,0,0,0,0,0,0,0,0,0,0
ARC101,0,1,0,0,0,0,0,0,0,0,0
ARC194,0,0,1,0,0,0,0,0,0,0,0
ARC226,0,0,0,1,0,0,0,0,0,0,0
ARC242,0,0,0,0,1,0,0,0,0,0,0
ARC318,0,0,0,0,0,1,0,0,0,0,0
ARC336,0,0,0,0,0,0,1,0,0,0,0
ARC343,0,0,0,0,0,0,0,1,0,0,0
ARC395,0,0,0,0,0,0,0,0,1,0,0
ARC401,0,0,0,0,0,0,0,0,0,1,0
ARC561,0,0,0,0,0,0,0,0,0,0,1
