,ARC077,ARC140,ARC463,ARC465,ARC521,ARC697,ARC732,ARC733
ARC077,1,0,0,0,0,0,0,0
ARC140,0,1,0,0,0,0,0,0
ARC463,0,0,1,0,0,0,0,0
ARC465,0,0,0,1,0,0,0,0
ARC521,0,0,0,0,1,0,0,0
ARC697,0,0,0,0,0,1,0,0
ARC732,0,0,0,0,0,0,1,0
ARC733,0,0,0,0,0,0,0,1
