,ARC009,ARC032,ARC040,ARC086,ARC177,ARC386,ARC534
ARC009,1,0,0,0,0,0,0
ARC032,0,1,0,0,0,0,0
ARC040,0,0,1,0,0,0,0
ARC086,0,0,0,1,0,0,0
ARC177,0,0,0,0,1,0,0
ARC386,0,0,0,0,0,1,0
ARC534,0,0,0,0,0,0,1
