,Ri,Label,Enclosure,Nr 52.2,Nr 52.4,Nr 52.7,Nr 52.11,Nr 60.2,Nr 60.5,Nr 60.11,Nr 60.34
105,115,ARC144,54B_e,312,260,286,368,333,224,441,224
106,116,ARC145,54B_e,310,252,262,388,333,230,439,254
107,117,ARC146,56B_n,300,258,260,402,341,234,437,258
108,118,ARC147,56B_n,280,238,262,404,335,224,449,222
109,119,ARC148,56B_n,312,256,270,408,335,236,431,230
110,120,ARC149,56B_s,312,244,258,400,333,236,443,266
111,121,ARC150,58E_e,286,258,282,398,333,224,427,292
112,122,ARC151,44_s,314,260,266,394,337,238,429,284
113,124,ARC153,41A_n,306,258,262,398,351,232,433,248
114,125,ARC154,44_e,306,258,274,394,361,238,439,246
115,128,ARC158,60D_e,298,236,278,404,343,248,435,240
116,129,ARC159,60D_s,282,236,262,410,343,210,431,264
117,130,ARC160,59_n,310,250,282,404,335,244,419,228
118,132,ARC162,61A_s,318,252,262,398,329,226,439,238
119,133,ARC163,61A_s,310,260,274,386,339,246,435,234
120,134,ARC164,58E_n,312,244,258,392,333,224,437,226
121,135,ARC165,58E_n,314,244,258,394,341,228,439,228
122,139,ARC169,46_n,296,238,266,382,353,238,425,222
123,140,ARC170,44_e,308,262,278,386,357,226,451,222
124,141,ARC171,44_e,304,256,270,384,357,226,431,236
125,142,ARC172,44_n,308,258,266,392,351,228,435,234
126,143,ARC173,44_n,302,262,286,392,345,236,443,254
127,144,ARC174,41A_n,310,262,262,404,347,230,431,268
128,145,ARC175,59_s,316,248,282,406,351,240,437,244
129,146,ARC176,59_s,304,262,274,398,347,222,437,228
130,147,ARC177,59_e,304,258,270,400,311,228,433,220
131,149,ARC179,61B_n,294,260,274,400,339,220,419,222
132,150,ARC180,58E_e,312,252,278,418,333,242,427,244
133,151,ARC181,58E_n,308,262,274,404,333,236,425,258
134,152,ARC182,56B_s,260,260,270,404,329,226,429,264
135,153,ARC183,56B_n,260,260,266,392,335,230,447,220
136,154,ARC184,48B_e,250,248,266,396,341,232,429,244
137,155,ARC185,46_n,314,258,254,398,349,238,451,268
138,156,ARC186,44_s,256,266,274,412,335,224,429,246
139,157,ARC187,44_s,314,254,250,386,365,220,433,234
140,158,ARC188,44_e,318,258,286,408,333,230,447,220
141,159,ARC189,44_e,314,250,262,378,337,224,431,246
142,160,ARC190,44_n,314,260,286,390,331,224,433,210
143,161,ARC191,59_n,318,256,274,410,365,240,449,256
144,162,ARC193,59_n,318,264,278,406,331,220,447,246
145,163,ARC195,61B_n,310,258,274,392,349,226,439,236
146,164,ARC196,60D_e,310,210,278,394,339,228,427,258
147,168,ARC201,58E_e,308,262,266,384,331,224,433,248
148,169,ARC203,54B_e,312,246,266,384,355,212,453,256
149,171,ARC205,56B_s,244,244,258,406,333,236,443,272
150,172,ARC206,44_s,302,266,266,398,343,224,449,240
151,173,ARC207,44_s,306,260,266,394,347,238,423,244
152,174,ARC208,59_n,318,248,274,410,351,232,447,264
153,175,ARC209,59_s,308,262,258,398,347,210,433,220
154,177,ARC212,61B_n,242,242,270,422,331,228,443,220
155,178,ARC213,60D_s,300,250,274,406,331,230,433,222
156,179,ARC215,58E_n,312,264,266,426,343,226,425,266
157,180,ARC216,44_s,318,250,262,394,345,224,439,220
158,181,ARC217,44_e,314,250,266,368,345,224,431,224
159,182,ARC218,60D_e,310,248,266,390,363,246,441,244
160,183,ARC219,60D_s,314,260,262,400,327,228,445,222
161,184,ARC221,46_n,300,260,270,408,347,232,443,292
162,185,ARC222,41A_w,320,262,286,400,339,224,429,292
163,188,ARC227,59_s,326,252,254,410,341,224,427,224
164,190,ARC230,61A_s,310,258,262,404,335,226,435,226
165,191,ARC232,60D_s,306,254,278,390,335,224,439,220
166,192,ARC233,61B_s,308,264,278,392,341,226,435,258
167,194,ARC235,54B_e,308,242,278,402,335,224,439,218
168,195,ARC236,56B_s,316,260,270,404,353,224,443,240
169,196,ARC237,58E_n,318,248,266,400,327,236,435,252
170,197,ARC238,58E_n,312,256,274,400,343,228,447,262
171,198,ARC239,44_n,324,248,278,404,345,228,429,252
172,201,ARC242,61A_e,312,254,282,386,341,246,435,254
173,206,ARC247,44_s,318,258,270,414,343,222,451,260
174,207,ARC248,44_e,316,262,270,386,333,226,433,246
175,208,ARC249,44_e,294,260,258,396,341,234,425,268
176,209,ARC250,41A_w,316,248,258,404,339,220,423,238
177,224,ARC265,59_s,270,264,266,382,351,224,427,252
178,259,ARC301,61B_s,312,230,266,388,337,224,433,224
179,260,ARC303,58E_e,312,264,266,418,355,246,427,258
180,261,ARC304,59_n,318,264,262,408,333,214,447,240
181,262,ARC305,59_n,316,258,278,400,339,240,441,242
182,263,ARC306,59_n,300,258,290,390,349,242,449,236
183,264,ARC308,54B_e,312,256,286,368,337,224,427,222
184,265,ARC310,41A_w,320,252,262,396,353,236,447,228
185,266,ARC311,44_n,316,248,286,374,345,226,429,244
186,268,ARC313,44_e,306,250,262,398,345,224,431,246
187,270,ARC316,60D_e,320,256,282,398,337,210,437,288
188,271,ARC319,61A_n,290,250,266,418,353,230,429,220
189,272,ARC320,58E_e,300,252,266,402,335,214,435,222
190,273,ARC321,56B_n,322,258,274,390,333,248,447,234
191,274,ARC322,56B_n,316,262,270,408,337,240,449,242
192,276,ARC324,44_e,306,262,266,368,345,224,431,224
193,278,ARC328,60D_e,320,260,286,398,347,250,433,244
194,279,ARC329,61A_n,306,256,282,418,349,236,437,260
195,283,ARC333,58E_n,306,262,274,404,345,234,425,258
196,284,ARC334,58E_n,312,248,286,410,343,248,427,258
197,285,ARC335,61A_n,312,250,266,418,355,222,437,236
198,286,ARC336,61A_e,290,256,282,384,341,224,427,256
199,289,ARC340,44_n,324,248,286,398,337,234,443,244
200,290,ARC341,44_e,300,258,270,408,357,226,447,226
201,291,ARC344,61A_n,286,250,282,418,355,236,437,220
202,293,ARC347,43A_e,296,260,274,400,343,208,433,240
203,294,ARC348,43A_e,308,262,274,398,343,228,437,240
204,295,ARC349,61B_s,324,236,278,394,333,224,433,272
205,296,ARC351,44_n,302,262,286,392,345,236,441,244
206,297,ARC352,44_e,308,248,286,394,355,236,451,220
207,299,ARC355,59_n,290,264,274,384,341,230,429,256
208,301,ARC357,61A_n,312,258,266,404,333,228,439,246
209,303,ARC359,46_e,320,256,270,410,337,236,431,258
210,305,ARC361,44_e,268,262,266,394,365,232,431,246
211,306,ARC362,44_e,304,260,262,406,355,226,425,246
212,307,ARC363,44_n,308,260,262,414,361,234,453,222
213,308,ARC364,61B_s,316,252,266,406,349,222,425,236
214,309,ARC366,58E_n,308,264,250,400,335,222,429,244
215,310,ARC367,58E_n,308,264,262,402,343,208,431,258
216,311,ARC369,59_n,318,248,274,406,343,230,429,226
217,315,ARC374,61B_n,314,258,282,408,337,220,443,254
218,316,ARC376,56B_n,310,242,274,402,359,246,417,244
219,319,ARC380,60D_e,312,256,266,402,357,220,437,288
220,320,ARC382,44_s,316,258,274,398,355,238,431,270
221,323,ARC385,43A_e,292,254,274,398,359,228,423,240
222,324,ARC387,61B_s,314,258,254,406,355,210,437,258
223,325,ARC388,61B_s,324,248,266,398,355,224,441,244
224,326,ARC392,56B_n,310,258,270,398,357,230,443,224
225,327,ARC395,61A_e,312,246,282,384,353,246,429,256
226,328,ARC396,60D_s,308,264,254,388,355,228,431,222
227,330,ARC399,44_e,302,260,262,408,353,246,439,220
228,331,ARC400,61A_s,314,260,274,396,353,246,437,254
229,332,ARC402,54B_e,318,250,286,394,353,222,431,218
230,333,ARC403,44_s,300,254,258,396,363,222,431,260
231,334,ARC404,54B_w,316,262,262,416,345,234,449,242
232,338,ARC410,44_e,308,258,278,412,361,236,429,246
233,339,ARC411,43A_n,304,236,258,404,333,220,447,228
234,340,ARC412,44_e,304,250,258,406,347,224,421,230
235,342,ARC414,48B_s,306,262,258,392,333,238,431,264
236,343,ARC415,48B_s,306,268,258,392,353,238,431,252
237,344,ARC416,58E_n,284,254,274,398,337,234,435,252
238,345,ARC417,60D_s,306,238,262,394,345,224,441,274
239,346,ARC418,60D_s,302,250,278,388,333,224,431,262
240,348,ARC421,54B_e,304,258,274,386,355,224,437,254
241,350,ARC423,54B_e,308,256,270,382,335,236,429,222
242,351,ARC424,54B_w,302,248,278,370,341,224,427,222
243,352,ARC425,60D_n,298,230,262,400,343,210,437,222
244,353,ARC426,59_n,300,262,266,388,343,240,437,250
245,354,ARC427,41A_w,298,262,262,398,353,216,437,240
246,356,ARC429,61B_s,320,248,278,392,337,248,425,222
247,357,ARC430,61B_s,320,248,254,392,359,226,441,280
248,358,ARC431,44_e,296,246,278,388,335,226,431,222
249,360,ARC435,58E_w,310,264,282,394,339,246,447,234
250,361,ARC436,58E_n,312,256,262,394,333,236,435,228
251,362,ARC437,60D_s,308,252,278,412,343,244,445,222
252,364,ARC439,60D_e,302,254,278,400,333,234,437,294
253,367,ARC443,48B_e,256,262,270,396,333,226,441,222
254,379,ARC455,43A_n,304,262,282,386,349,238,413,234
255,381,ARC458,44_n,312,256,262,392,353,210,425,230
256,382,ARC460,44_s,310,260,274,404,349,224,427,240
257,383,ARC461,48B_e,296,252,278,386,333,232,431,252
258,385,ARC463,61B_e,288,266,266,408,333,250,447,264
259,386,ARC465,61B_e,290,250,286,392,347,248,445,240
260,389,ARC468,61A_n,312,262,274,398,333,220,427,256
261,390,ARC470,61A_s,300,256,278,396,363,228,437,260
262,391,ARC471,43A_n,304,268,262,396,343,228,437,240
263,392,ARC473,58E_n,256,252,276,396,337,234,431,238
264,405,ARC487,43A_e,304,264,274,394,343,220,421,284
265,406,ARC489,58E_w,316,256,262,392,353,224,439,252
266,409,ARC492,58E_n,312,264,266,396,335,226,425,258
267,411,ARC494,60D_s,300,260,270,392,359,238,437,290
268,412,ARC496,43A_n,308,262,258,398,339,232,431,234
269,415,ARC500,60D_n,312,250,262,398,337,252,427,292
270,416,ARC501,60D_e,304,256,286,390,337,240,417,218
271,418,ARC503,46_e,312,230,274,396,337,226,427,222
272,419,ARC504,48B_s,324,254,264,392,347,226,431,222
273,421,ARC506,61B_n,322,254,274,396,349,220,431,224
274,422,ARC507,61A_n,308,248,282,420,335,236,439,260
275,423,ARC508,46_n,304,270,262,398,345,224,433,254
276,424,ARC509,44_n,310,262,262,424,339,234,433,254
277,425,ARC510,44_n,320,258,266,378,357,228,433,254
278,426,ARC511,46_e,300,250,262,392,337,208,451,254
279,427,ARC512,44_e,320,254,274,402,337,230,429,258
280,428,ARC513,48B_s,274,262,278,404,333,232,429,254
281,430,ARC517,46_e,320,262,276,408,343,242,449,222
282,431,ARC518,46_e,310,260,258,396,347,230,429,266
283,432,ARC519,58E_w,308,260,274,388,335,204,449,234
284,433,ARC520,58E_n,312,262,286,408,339,236,427,234
285,434,ARC521,61B_e,316,266,246,394,331,250,441,234
286,435,ARC523,61B_s,324,230,242,390,335,234,437,254
287,436,ARC524,61B_s,320,260,254,378,351,224,437,282
288,437,ARC525,41A_n,320,262,278,386,353,218,451,290
289,438,ARC526,41A_n,308,260,258,404,339,226,449,230
290,440,ARC528,43A_e,282,252,258,406,331,210,431,242
291,443,ARC531,44_s,316,258,258,402,339,234,433,270
292,444,ARC532,58E_n,306,262,290,392,333,228,443,258
293,445,ARC533,58E_e,304,260,282,396,363,224,427,240
294,446,ARC534,59_e,318,262,282,396,335,236,425,256
295,448,ARC536,61B_n,314,258,256,392,335,202,437,270
296,449,ARC537,44_s,314,260,246,396,335,234,449,220
297,450,ARC538,41A_n,308,260,266,408,343,224,439,236
298,454,ARC544,44_e,322,258,274,394,361,232,427,246
299,456,ARC548,58E_w,324,262,258,394,349,222,429,248
300,458,ARC552,60D_s,302,266,274,392,331,228,429,252
301,459,ARC553,44_n,318,250,274,398,333,238,419,250
302,462,ARC557,61B_s,324,248,242,402,347,248,441,250
303,463,ARC558,54B_w,324,246,262,358,333,228,439,218
304,468,ARC564,54B_e,312,260,286,312,337,224,429,222
305,470,ARC568,48B_s,312,270,250,388,337,226,429,270
306,471,ARC569,58E_e,300,258,272,418,337,228,429,222
307,473,ARC571,44_n,326,272,272,394,337,246,429,240
308,476,ARC575,43A_e,310,246,266,398,351,220,429,280
309,477,ARC577,44_s,316,260,268,402,357,222,429,240
310,478,ARC578,44_e,316,262,278,386,357,228,427,246
311,479,ARC579,44_e,314,246,248,400,345,224,427,250
312,480,ARC581,44_e,316,260,266,394,345,234,451,246
313,481,ARC582,43A_e,308,254,254,410,345,228,423,232
314,482,ARC583,43A_e,308,262,274,396,343,236,433,240
315,483,ARC584,43A_e,300,254,254,398,335,236,439,240
316,485,ARC586,58E_n,314,262,278,394,333,228,439,238
317,487,ARC588,61B_n,312,260,276,392,333,228,419,228
318,488,ARC589,41A_w,306,262,278,408,333,226,439,228
319,490,ARC591,44_e,308,260,270,384,355,232,427,246
320,492,ARC594,43A_n,308,262,276,400,333,236,433,246
321,493,ARC595,43A_e,306,262,266,398,339,226,439,232
322,494,ARC596,56B_n,306,256,270,394,345,226,451,232
323,495,ARC597,56B_s,306,258,270,392,333,216,443,226
324,496,ARC598,58E_e,304,260,274,370,333,246,441,266
325,502,ARC607,59_n,278,244,278,402,339,230,431,220
326,505,ARC610,61A_s,318,252,242,394,345,242,429,220
327,506,ARC611,61B_s,324,252,246,434,337,242,437,224
328,509,ARC615,41A_w,294,250,270,388,351,232,441,236
329,511,ARC618,44_s,316,266,274,410,343,234,433,270
330,512,ARC619,58E_n,316,264,254,416,333,236,429,260
331,514,ARC621,41A_n,288,238,258,378,351,232,449,240
332,515,ARC622,41A_n,298,258,282,324,357,226,429,236
333,519,ARC626,54B_e,300,248,266,398,347,224,437,222
334,520,ARC627,54B_e,296,260,278,376,357,230,445,260
335,521,ARC628,54B_e,308,260,278,368,357,224,445,222
336,524,ARC631,61B_n,302,248,266,356,343,220,421,222
337,531,ARC638,44_e,278,262,272,388,339,232,433,234
338,533,ARC640,44_s,306,254,262,392,333,238,429,220
339,536,ARC643,54B_e,296,262,274,368,347,238,433,260
340,537,ARC644,54B_e,312,260,286,370,357,236,453,222
341,545,ARC652,60D_e,284,250,282,388,339,212,449,260
342,546,ARC653,59_s,316,248,282,390,335,224,437,224
343,551,ARC659,43A_e,308,254,274,398,339,228,429,240
344,552,ARC660,41A_w,316,248,262,388,329,226,443,252
345,555,ARC663,44_e,306,258,286,410,361,230,431,222
346,556,ARC664,44_e,316,262,266,368,331,224,431,224
347,557,ARC665,44_n,312,260,262,392,357,234,443,254
348,560,ARC668,44_n,314,258,262,366,351,214,433,230
349,566,ARC675,61B_n,310,246,258,384,329,220,431,266
350,621,ARC733,61B_e,314,260,286,404,335,212,435,220
