Ri,HL,IR,Enclosure,Nr 52.2 Locus,Nr 52.2,Nr 52.4 Locus,Nr 52.4,Nr 52.7 Locus,Nr 52.7,Nr 52.11 Locus,Nr 52.11,Nr 60.2 Locus,Nr 60.2,Nr 60.5 Locus,Nr 60.5,Nr 60.11 Locus,Nr 60.11,Nr 60.34 Locus,Nr 60.34,Years Since,Fires
R68,0.1224789711,0.0592261135,44_e,38,40,20,25,25,25,47,51,20,30,12,18,8,13,10,23,20,1
R69,0.252843275,0.2054740649,44_e,20,38,19,21,11,15,34,48,19,23,12,12,1,9,15,15,20,1
R70,0.6299190896,0.5888593263,44_e,34,34,19,19,13,25,39,39,16,17,12,13,14,14,11,11,20,1
R73,0.1224046281,0.0697271318,44_e,42,46,19,23,11,23,29,46,18,18,11,15,8,13,27,29,20,1
R74,0.0,-0.0727792995,44_e,40,47,20,25,13,23,38,42,28,30,14,16,9,12,10,23,20,1
R75,0.1236211779,0.0563445197,44_e,25,44,21,27,19,25,29,38,23,28,12,14,12,12,17,23,20,1
R76,0.3755275446,0.3368050185,44_e,43,43,19,19,8,10,36,45,19,22,5,12,12,12,17,25,20,1
R78,0.1276459637,0.0590068325,44_e,40,44,19,26,17,19,29,42,18,22,7,17,12,24,23,23,20,1
R79,0.1267455812,0.0689974377,44_e,39,40,16,26,11,21,37,37,25,27,14,16,8,12,11,23,20,1
R81,0.2548881735,0.1955951541,44_e,25,25,25,27,18,22,29,39,16,19,12,16,12,15,17,17,20,1
R82,0.0,-0.0832544287,44_e,20,39,20,25,23,29,43,50,15,30,12,15,12,14,10,11,20,1
R83,0.1267455812,0.0457401892,44_e,40,44,23,27,17,19,29,29,10,15,7,12,12,14,10,12,20,1
R84,0.0,-0.0684474788,44_n,27,44,18,22,17,19,34,44,19,26,9,12,11,15,26,27,20,1
R85,0.2501249348,0.1854727629,44_n,42,45,16,18,17,17,41,49,16,25,9,12,14,18,17,17,20,1
R86,0.0,-0.0692263557,44_n,35,39,20,25,13,19,38,41,19,30,4,6,11,14,23,24,20,1
R88,0.1276459637,0.0640898118,44_n,20,40,18,25,15,19,40,41,19,25,7,14,8,16,17,17,20,1
R89,0.0,-0.0707603359,44_n,32,37,18,27,17,29,32,41,16,22,13,18,10,20,22,27,20,1
R90,0.2512671416,0.2048968542,44_n,34,43,21,26,7,29,38,40,6,15,10,12,15,15,5,5,20,1
R91,0.0,-0.0566581094,44_n,44,48,16,20,11,25,46,47,18,22,13,14,11,13,23,26,20,1
R92,0.2519428925,0.1991913584,44_n,32,44,18,20,25,29,32,32,16,22,13,13,10,13,13,22,20,1
R94,0.1276459637,0.0630794526,44_n,37,48,18,20,11,29,38,44,16,18,13,17,11,20,22,22,20,1
R95,0.1276459637,0.0633548899,44_n,32,37,18,27,17,29,32,41,16,22,13,18,10,19,22,22,20,1
R96,0.3747890918,0.323556273,44_n,37,40,26,26,17,17,41,52,28,30,14,17,12,25,11,11,20,1
R98,0.2461001489,0.1854755937,44_n,39,42,17,24,17,17,32,41,16,26,4,5,11,11,11,15,20,1
R99,0.1251973113,0.0643790629,44_n,37,41,17,27,7,17,54,57,16,19,17,17,10,15,18,27,20,1
R100,0.1267455812,0.067398427,44_n,40,46,21,25,17,19,34,34,22,28,9,14,11,15,10,27,20,1
R103,0.3727713872,0.3219187724,44_n,41,45,16,21,15,23,44,44,16,16,18,19,8,8,12,25,20,1
R104,0.2512671416,0.2116548593,44_n,45,49,21,32,11,22,30,42,10,18,17,23,13,13,20,20,20,1
R107,0.1224789711,0.0394563606,44_n,37,42,18,26,17,17,40,41,16,28,13,17,12,20,11,27,20,1
R108,0.254391545,0.198154188,44_n,34,43,22,25,15,17,28,28,16,25,4,7,12,15,15,15,20,1
R110,0.2512671416,0.1722752218,44_s,40,45,17,21,13,17,40,43,16,22,11,12,13,13,10,10,25,1
R111,0.1267455812,0.0502792026,44_s,28,38,19,27,17,21,39,39,15,16,5,15,13,23,10,15,25,1
R112,0.0,-0.0735360072,44_s,38,44,11,23,11,21,50,54,16,24,6,12,10,14,20,21,25,1
R113,0.2512671416,0.178623038,44_s,37,43,24,26,15,23,43,44,16,17,12,16,14,14,20,20,25,1
R115,0.0,-0.076903074,44_s,34,43,13,26,15,19,38,42,16,18,13,19,10,13,22,42,25,1
R116,0.2500505918,0.2004480992,44_s,1,14,11,29,15,23,42,51,17,17,9,12,6,13,23,23,25,1
R117,0.1267455812,0.0772551756,44_s,34,43,21,23,9,11,38,38,22,32,7,10,9,15,10,17,25,1
R118,0.1276459637,0.0628094018,44_s,36,37,25,29,13,19,29,44,20,21,11,12,11,23,20,20,25,1
R119,0.1236211779,0.0626687678,44_s,34,39,23,26,15,19,41,42,21,23,13,19,10,10,10,22,25,1
R120,0.0,-0.0932338561,44_s,40,45,17,21,13,17,39,42,16,22,11,12,13,18,9,10,25,1
R121,0.0,-0.072917595,44_s,44,45,17,25,13,21,39,52,16,21,10,11,13,24,11,30,25,1
R122,0.1267455812,0.0711823768,44_s,25,44,20,25,15,23,44,44,25,27,16,19,10,14,23,35,25,1
R123,0.49853967,0.4687576068,44_s,36,36,18,23,15,15,39,43,27,31,11,11,14,14,29,30,25,1
R124,0.0,-0.0818402204,44_s,38,41,11,26,15,23,44,47,22,24,8,12,9,12,10,20,25,1
R125,0.2471431281,0.2042194534,44_s,36,44,25,25,15,15,43,46,18,19,16,17,9,15,14,35,25,1
R126,0.0,-0.0714483985,44_s,37,43,13,26,3,9,31,43,16,17,12,17,14,23,9,10,25,1
R127,0.0,-0.0513502982,44_s,20,44,11,26,1,20,38,46,24,28,7,11,10,13,17,20,25,1
R128,0.2492245523,0.2023449595,44_s,34,44,28,29,23,23,50,50,16,21,5,17,14,15,20,35,25,1
R129,0.2500505918,0.1758263048,44_s,28,39,19,23,15,17,39,41,16,16,15,19,10,13,10,10,25,1
R131,0.0,-0.0700591654,46_e,41,46,18,24,11,21,45,50,16,18,11,18,13,14,28,29,8,3
R133,0.124664157,0.0438446015,46_e,38,42,11,11,15,23,38,43,13,18,10,13,8,12,8,11,8,3
R134,0.3752479031,0.3300448675,46_e,20,36,20,21,11,17,40,41,18,18,4,4,14,24,27,27,8,3
R135,0.1267455812,0.0590858738,46_e,38,46,26,27,15,24,49,49,16,21,9,21,13,23,10,11,8,3
R136,0.1236211779,0.0606438185,46_e,40,41,19,26,13,15,38,43,17,23,11,15,13,13,32,33,8,3
R137,0.0,-0.0811312696,46_n,25,40,24,27,13,27,42,48,16,19,12,15,15,24,10,12,8,4
R138,0.0,-0.0660670519,46_n,30,43,20,28,17,25,39,47,21,22,4,15,12,14,14,18,8,4
R139,0.2512671416,0.1955477128,46_n,20,34,13,15,15,19,20,36,16,26,12,19,11,11,11,11,8,4
R140,0.1276459637,0.0721092226,46_n,36,43,20,25,9,13,41,44,21,24,3,19,12,24,34,34,8,4
R141,0.253987791,0.2082952015,46_n,36,36,20,26,9,21,49,49,21,23,13,16,11,20,45,46,8,4
R143,0.1224789711,0.0479066928,46_n,31,38,27,31,17,17,43,44,21,22,4,12,13,15,10,27,8,4
R146,0.2503667591,0.1773492004,48B_e,30,36,21,28,15,19,40,40,16,18,10,13,12,12,11,13,10,2
R147,0.3736717697,0.3270470049,48B_e,25,34,21,26,13,15,35,53,15,15,10,13,13,13,22,22,10,2
R149,0.124664157,0.0651090373,48B_e,10,11,20,20,17,19,37,43,17,20,9,16,8,13,13,22,10,2
R152,0.3816337547,0.3200850906,48B_e,14,14,26,27,17,21,43,43,14,16,5,13,12,19,11,11,10,2
R153,0.1276459637,0.0623439655,48B_e,15,34,17,22,23,25,36,38,15,16,13,16,8,14,26,26,10,2
R155,0.0,-0.0669976118,48B_s,21,40,14,31,7,15,40,42,16,25,21,22,12,13,25,26,10,2
R156,0.1276459637,0.0575128589,48B_s,21,38,13,14,9,17,31,41,16,23,10,13,13,15,17,17,10,2
R159,0.2492245523,0.1876654201,48B_s,38,43,25,31,15,15,42,42,15,16,9,13,11,15,14,17,10,2
R160,0.2448835992,0.1752744597,48B_s,38,39,14,27,15,15,40,41,16,16,10,19,12,14,29,32,10,2
R161,0.375322246,0.3300448675,48B_s,22,39,14,30,15,15,40,41,16,26,19,19,12,14,26,26,10,2
R162,0.0,-0.0747112933,48B_s,31,48,11,23,16,18,31,41,16,23,10,13,13,14,7,11,10,2
R163,0.2496468379,0.1884412924,48B_s,23,23,21,27,21,25,42,47,16,16,4,16,8,13,26,27,10,2
R164,0.2476762823,0.1956530048,48B_s,38,42,24,31,11,11,38,39,16,18,13,13,10,13,34,35,10,2
R165,0.4979686984,0.4460036344,54B_e,40,41,19,24,12,21,39,39,16,16,12,12,13,13,10,20,5,3
R166,0.2503667591,0.1874344692,54B_e,38,41,22,25,7,9,29,29,16,18,12,16,14,14,25,26,5,3
R168,0.6204111438,0.5898548096,54B_e,41,41,25,25,7,7,29,41,16,16,4,18,13,13,18,27,5,3
R169,0.2519428925,0.1746673157,54B_e,39,41,22,24,9,17,29,29,16,18,12,12,13,15,10,12,5,3
R171,0.0,-0.1014190899,54B_e,37,41,11,26,13,15,37,38,16,17,5,12,8,12,9,10,5,3
R172,0.3743475206,0.3084814287,54B_e,41,42,25,26,13,29,29,29,16,16,12,12,13,19,11,12,5,3
R173,0.0,-0.0865055895,54B_e,40,41,17,22,9,17,37,39,15,16,13,15,11,18,10,27,5,3
R174,0.1267455812,0.0708617268,54B_e,22,42,17,19,13,19,37,37,16,27,3,6,14,25,27,28,5,3
R175,0.3747147488,0.3297137652,54B_e,35,40,17,17,15,25,45,46,17,17,5,12,12,18,9,9,5,3
R177,0.5026768798,0.4461660916,54B_e,41,42,24,24,17,29,29,29,16,18,11,12,12,12,11,11,5,3
R181,0.2500505918,0.202445889,54B_e,38,45,18,21,23,29,29,42,26,26,4,11,8,14,9,9,5,3
R182,0.3800854848,0.3206311118,54B_e,38,38,22,25,15,23,29,38,24,27,12,12,13,17,27,27,5,3
R183,0.2500505918,0.1825487989,54B_e,25,40,19,24,17,21,29,36,17,17,4,18,12,13,11,11,5,3
R185,0.3780127228,0.3131518071,54B_e,41,42,24,26,17,29,1,1,16,18,10,12,13,13,11,11,5,3
R188,0.252843275,0.1774095739,54B_e,35,36,18,20,7,19,43,44,15,23,12,12,13,17,11,11,5,3
R189,0.0,-0.0604212486,54B_e,22,34,19,26,21,25,8,33,16,28,12,15,14,21,29,30,5,3
R190,0.254391545,0.1872565577,54B_e,22,40,17,26,21,25,29,29,16,28,7,12,14,21,11,11,5,3
R191,0.1267455812,0.0667833738,54B_e,22,34,18,27,21,23,29,29,17,23,12,19,8,15,29,30,5,3
R192,0.3795888562,0.3408130296,54B_e,40,42,19,26,21,29,30,30,21,28,18,18,21,25,11,11,5,3
R194,0.2476762823,0.1903263181,54B_w,36,39,17,29,17,17,29,42,14,18,14,14,14,18,10,14,5,3
R195,0.2498614682,0.2002119545,54B_w,41,42,11,11,21,25,29,42,14,17,4,4,10,18,1,4,5,3
R198,0.1276459637,0.0639022199,54B_w,41,44,11,27,7,17,45,53,16,22,4,17,11,23,21,21,5,3
R200,0.5032100341,0.4488062535,54B_w,35,37,11,20,21,25,30,30,16,20,12,12,12,12,11,11,5,3
R202,0.3752479031,0.3271458556,54B_w,47,48,11,19,9,17,23,24,16,16,14,14,8,18,9,9,5,3
R204,0.2514097382,0.1875045108,56B_n,35,43,20,20,17,21,50,50,15,16,8,19,8,14,10,22,10,2
R205,0.2491502093,0.1852871683,56B_n,36,42,19,26,11,27,41,41,16,16,10,16,11,20,17,22,10,2
R206,0.2471431281,0.2064865357,56B_n,31,36,25,25,16,16,40,46,18,20,5,17,12,17,25,29,10,2
R207,0.2500505918,0.1917393873,56B_n,22,26,14,15,9,17,41,47,17,17,5,12,8,23,11,11,10,2
R208,0.1276459637,0.065642564,56B_n,35,42,21,24,9,21,42,49,14,17,10,18,8,14,15,15,10,2
R209,0.1276459637,0.053935153,56B_n,9,16,19,26,11,19,40,41,16,17,11,15,14,22,10,10,10,2
R210,0.254391545,0.2044991438,56B_n,36,47,15,25,11,23,40,40,10,16,16,24,11,22,17,17,10,2
R211,0.1276459637,0.078044625,56B_n,42,44,21,27,7,21,40,49,14,18,19,20,14,23,21,21,10,2
R212,0.2512671416,0.2090824164,56B_n,38,41,11,17,9,23,37,46,23,29,13,23,7,7,22,22,10,2
R214,0.3780127228,0.3347992611,56B_n,37,41,19,25,17,21,44,44,25,28,12,15,20,20,12,12,10,2
R216,0.254391545,0.2003238429,56B_n,38,39,23,24,19,21,42,42,17,22,11,13,15,24,16,16,10,2
R217,0.3795888562,0.3126241544,56B_s,38,41,11,18,13,15,41,41,16,20,18,18,14,17,11,11,10,3
R219,0.1267455812,0.0508904387,56B_s,36,41,11,19,13,21,41,41,16,20,16,18,17,23,11,14,10,3
R221,0.3725295629,0.3182358394,56B_s,38,42,17,18,15,15,44,45,16,16,12,18,14,20,33,33,10,3
R222,0.2500505918,0.2084013154,56B_s,5,16,15,26,17,21,41,47,14,14,5,13,6,13,32,32,10,3
R223,0.1224046281,0.0507610344,56B_s,1,8,11,18,13,15,41,48,16,16,12,18,17,20,14,36,10,3
R224,0.1251973113,0.0680660945,56B_s,37,44,17,26,9,21,28,47,14,26,12,12,13,20,13,20,10,3
R226,0.1267455812,0.0587294208,56B_s,36,39,23,25,13,21,41,41,15,16,5,8,17,20,12,13,10,3
R227,0.1276459637,0.0491002148,58E_e,42,44,11,22,13,19,46,47,16,19,11,13,8,12,15,15,16,1
R228,0.2491502093,0.1965280321,58E_e,38,45,26,27,17,21,46,46,15,15,1,19,9,13,20,29,16,1
R229,0.376870516,0.3339038335,58E_e,38,42,22,30,23,23,34,34,15,19,1,13,12,17,15,15,16,1
R230,0.0,-0.0667580327,58E_e,27,38,20,27,13,23,43,46,19,27,2,23,14,17,20,29,16,1
R231,0.2501249348,0.1922151366,58E_e,36,40,19,22,19,19,46,47,15,18,11,12,15,19,20,20,16,1
R232,0.1236211779,0.0553129085,58E_e,28,29,11,25,6,27,40,44,12,16,10,12,12,12,45,46,16,1
R233,0.3706899629,0.3146694714,58E_e,41,42,22,22,23,25,48,54,16,16,10,21,12,12,10,22,16,1
R234,0.3743475206,0.3216795151,58E_e,29,40,22,27,13,19,37,37,15,15,12,12,14,15,18,24,16,1
R236,0.0,-0.075171333,58E_e,27,42,25,28,13,19,46,54,16,27,10,23,8,12,22,29,16,1
R237,0.1276459637,0.0475592115,58E_e,29,36,19,22,17,19,42,46,15,17,5,7,12,16,11,11,16,1
R240,0.1276459637,0.0635552388,58E_e,29,38,24,26,17,27,38,43,27,31,1,12,9,12,20,20,16,1
R241,0.1276459637,0.0607934195,58E_e,31,36,22,25,11,22,53,54,16,18,2,14,10,13,11,11,16,1
R242,0.2491502093,0.18357461,58E_e,36,38,22,26,19,23,30,30,16,16,12,23,14,19,29,33,16,1
R243,0.1251973113,0.0636899231,58E_n,42,43,14,15,13,25,44,45,13,16,13,13,8,23,19,28,16,2
R244,0.2476762823,0.1972724531,58E_n,35,44,14,27,23,23,42,43,16,19,11,11,18,22,28,29,16,2
R245,0.1224789711,0.0637573964,58E_n,31,53,11,27,19,19,44,45,19,23,11,19,10,17,11,16,16,2
R247,0.2514097382,0.1913329679,58E_n,34,38,14,14,7,17,39,39,13,16,9,12,12,18,23,28,16,2
R248,0.0,-0.0908245609,58E_n,42,44,11,24,19,23,43,44,16,21,13,15,8,13,26,29,16,2
R249,0.1267455812,0.0474269362,58E_n,38,47,11,21,13,21,37,37,16,22,12,13,10,14,10,13,16,2
R250,0.5032100341,0.4592712639,58E_n,35,42,14,18,6,15,41,41,13,16,12,12,17,17,13,13,16,2
R251,0.1267455812,0.0509609671,58E_n,22,43,13,18,11,15,42,42,16,20,12,14,12,18,11,14,16,2
R252,0.3780127228,0.3285506465,58E_n,34,40,11,27,11,23,47,47,13,16,14,18,11,11,29,29,16,2
R253,0.0,-0.060572083,58E_n,40,42,19,28,11,19,55,58,17,21,11,13,8,11,27,33,16,2
R254,0.2500505918,0.1970505597,58E_n,38,45,11,20,13,19,34,45,13,13,14,18,12,16,26,26,16,2
R255,0.1276459637,0.0736373553,58E_n,35,42,18,24,15,23,44,45,17,21,11,14,9,22,31,31,16,2
R256,0.1236211779,0.061193588,58E_n,35,39,26,27,19,23,46,47,16,22,14,17,11,11,28,29,16,2
R257,0.0,-0.0786867765,58E_n,31,42,11,20,23,29,46,50,16,21,18,24,8,12,17,29,16,2
R258,0.376870516,0.3376544838,58E_n,30,40,24,28,11,11,45,45,13,17,8,11,8,13,22,22,16,2
R259,0.3795888562,0.3292301111,58E_n,28,40,24,28,11,17,46,46,16,21,4,4,11,14,29,29,16,2
R261,0.2500505918,0.20381627,58E_n,27,28,7,23,13,23,43,44,18,18,13,17,12,16,26,26,16,2
R262,0.2512671416,0.1926762947,58E_n,40,42,10,24,7,17,39,42,15,16,15,18,16,16,14,14,16,2
R263,0.1276459637,0.0742285926,58E_n,9,14,20,22,15,24,42,43,13,18,4,17,13,14,19,19,16,2
R264,0.2491502093,0.1965232742,58E_n,40,42,19,28,11,19,43,43,17,17,11,13,8,11,28,29,16,2
R266,0.2503667591,0.189215684,58E_n,31,42,11,27,19,29,49,49,14,19,4,18,12,12,11,17,16,2
R267,0.0,-0.0710776394,58E_n,31,39,23,27,21,31,40,41,15,16,11,14,8,20,28,29,16,2
R268,0.3743475206,0.3225108901,58E_n,22,43,25,27,11,25,42,42,16,16,14,14,8,18,14,19,16,2
R269,0.0,-0.0677460163,58E_n,34,44,18,28,11,13,48,53,15,16,14,18,11,13,29,30,16,2
R270,0.2519428925,0.2025734334,58E_w,38,48,22,30,9,23,34,34,14,17,11,11,12,17,10,14,16,1
R272,0.124664157,0.0658486088,58E_w,48,49,11,11,7,23,38,48,13,19,12,23,13,22,27,28,16,1
R274,0.1276459637,0.0775166836,58E_w,34,41,24,28,15,27,39,42,13,19,11,23,18,22,17,17,16,1
R275,0.1267455812,0.0546886393,58E_w,42,44,21,24,7,17,41,41,15,26,8,12,12,18,21,26,16,1
R276,0.252843275,0.1851173306,58E_w,39,40,24,26,17,23,38,39,16,17,2,2,13,23,17,17,16,1
R277,0.1224789711,0.0625399258,58E_w,29,48,20,27,15,15,39,42,16,24,5,11,9,13,21,24,16,1
R278,0.1251973113,0.0602468516,59_e,32,43,20,26,15,25,49,51,16,19,5,5,12,18,13,17,37,2
R280,0.0,-0.077290539,59_e,33,45,18,20,19,23,42,45,15,19,10,16,14,19,10,17,37,2
R281,0.0,-0.0816909351,59_e,33,45,18,20,19,23,42,44,15,17,10,16,14,19,10,17,37,2
R282,0.2512671416,0.1939074282,59_e,29,38,20,25,19,21,43,45,1,5,12,14,15,15,10,10,37,2
R284,0.1251973113,0.0640274837,59_e,31,45,17,27,17,27,38,43,15,17,18,18,8,11,27,28,37,2
R285,0.1267455812,0.0697307285,59_n,31,45,18,20,17,23,37,37,20,21,15,16,14,22,27,28,33,2
R286,0.0,-0.0728521262,59_n,23,40,20,27,7,19,44,45,17,21,7,12,12,23,46,47,33,2
R287,0.1251973113,0.0620676407,59_n,31,36,13,15,21,23,44,45,16,17,21,21,13,23,10,21,33,2
R288,0.2471431281,0.2104314354,59_n,31,34,11,11,25,25,36,48,10,17,1,3,13,16,24,30,33,2
R290,0.0,-0.0601257571,59_n,31,36,18,27,15,19,36,47,15,19,18,20,16,18,12,16,33,2
R291,0.1236211779,0.0678591491,59_n,33,41,11,21,6,27,43,47,15,17,15,22,8,8,10,14,33,2
R292,0.0,-0.0555286008,59_n,44,45,20,24,7,23,37,50,15,32,7,20,13,23,27,28,33,2
R294,0.376796173,0.3386963392,59_n,38,45,25,28,7,25,48,48,15,15,9,10,15,22,23,23,33,2
R295,0.1251973113,0.0748340166,59_n,31,45,18,20,17,23,37,50,20,25,16,16,13,22,25,32,33,2
R296,0.1236211779,0.0748315976,59_n,44,45,18,28,7,17,37,49,12,16,6,7,22,22,13,20,33,2
R297,0.1267455812,0.0735758643,59_n,36,44,20,25,7,25,45,45,17,19,19,20,9,19,10,21,33,2
R298,0.1276459637,0.0713226185,59_n,35,36,11,25,7,31,37,40,16,24,5,21,18,23,18,18,33,2
R300,0.2503667591,0.2006803871,59_n,29,31,18,28,7,23,37,37,15,20,10,15,13,13,27,28,33,2
R301,0.2482853349,0.1980934538,59_n,29,45,20,20,7,23,36,48,15,21,10,15,13,13,12,13,33,2
R302,0.1267455812,0.0626810366,59_n,35,36,20,27,7,19,39,39,15,21,14,20,8,17,11,25,33,2
R304,0.3816337547,0.3297146017,59_n,25,25,11,18,9,25,46,46,15,19,7,15,8,14,10,10,33,2
R305,0.1276459637,0.057912286,59_s,37,39,20,27,13,15,41,44,13,23,2,5,16,17,10,10,41,1
