,Nr 52.2,Nr 52.4,Nr 52.7,Nr 52.11,Nr 60.2,Nr 60.5,Nr 60.11,Nr 60.34
Nr 52.2,1.0,0.0450404202884,-0.00803717915905,-0.0428104861214,0.0642923131918,0.0748761665191,0.0367250240593,0.0196245044838
Nr 52.4,0.0450404202884,1.0,0.0149380387803,-0.017319439335,0.0505475833252,0.0681590325311,-0.0221475375851,0.0609165487778
Nr 52.7,-0.00803717915905,0.0149380387803,1.0,-0.0483407763284,0.0252794097581,0.10781587071,-0.00371776873017,-0.0267688012101
Nr 52.11,-0.0428104861214,-0.017319439335,-0.0483407763284,1.0,-0.0391307735705,0.0611695601085,0.0608252740491,0.109346416965
Nr 60.2,0.0642923131918,0.0505475833252,0.0252794097581,-0.0391307735705,1.0,0.0285164020851,0.0221014405347,0.0560217825375
Nr 60.5,0.0748761665191,0.0681590325311,0.10781587071,0.0611695601085,0.0285164020851,1.0,-0.00639241407653,0.079723369439
Nr 60.11,0.0367250240593,-0.0221475375851,-0.00371776873017,0.0608252740491,0.0221014405347,-0.00639241407653,1.0,0.0166959753645
Nr 60.34,0.0196245044838,0.0609165487778,-0.0267688012101,0.109346416965,0.0560217825375,0.079723369439,0.0166959753645,1.0
