Ri,Enclosure,Nr 52.2 Locus,Nr 52.2,Nr 52.4 Locus,Nr 52.4,Nr 52.7 Locus,Nr 52.7,Nr 52.11 Locus,Nr 52.11,Nr 60.2 Locus,Nr 60.2,Nr 60.5 Locus,Nr 60.5,Nr 60.11 Locus,Nr 60.11,Nr 60.34 Locus,Nr 60.34,Years Since,Fires
R70,44_e,34,34,19,19,13,25,39,39,16,17,12,13,14,14,11,11,20,1
R71,44_e,37,39,11,24,13,29,59,68,16,18,7,10,15,22,11,11,20,1
R72,44_e,35,36,18,25,17,17,42,50,16,25,17,17,12,23,11,61,20,1
R73,44_e,42,46,19,23,11,23,29,46,18,18,11,15,8,13,27,29,20,1
R74,44_e,40,47,20,25,13,23,38,42,28,30,14,16,9,12,10,23,20,1
R75,44_e,25,44,21,27,19,25,29,38,23,28,12,14,12,12,17,23,20,1
R76,44_e,43,43,19,19,8,10,36,45,19,22,5,12,12,12,17,25,20,1
R77,44_e,32,40,26,31,17,21,38,42,16,33,14,15,12,15,23,23,20,1
R78,44_e,40,44,19,26,17,19,29,42,18,22,7,17,12,24,23,23,20,1
R79,44_e,39,40,16,26,11,21,37,37,25,27,14,16,8,12,11,23,20,1
R80,44_e,35,40,12,21,22,29,43,61,16,30,16,16,12,22,11,11,20,1
R81,44_e,25,25,25,27,18,22,29,39,16,19,12,16,12,15,17,17,20,1
R82,44_e,20,39,20,25,23,29,43,50,15,30,12,15,12,14,10,11,20,1
R83,44_e,40,44,23,27,17,19,29,29,10,15,7,12,12,14,10,12,20,1
R84,44_n,27,44,18,22,17,19,34,44,19,26,9,12,11,15,26,27,20,1
R85,44_n,42,45,16,18,17,17,41,49,16,25,9,12,14,18,17,17,20,1
R86,44_n,35,39,20,25,13,19,38,41,19,30,4,6,11,14,23,24,20,1
R87,44_n,39,40,20,21,19,19,29,29,16,26,10,15,10,14,56,56,20,1
R88,44_n,20,40,18,25,15,19,40,41,19,25,7,14,8,16,17,17,20,1
R89,44_n,32,37,18,27,17,29,32,41,16,22,13,18,10,20,22,27,20,1
R90,44_n,34,43,21,26,7,29,38,40,6,15,10,12,15,15,5,5,20,1
R91,44_n,44,48,16,20,11,25,46,47,18,22,13,14,11,13,23,26,20,1
R92,44_n,32,44,18,20,25,29,32,32,16,22,13,13,10,13,13,22,20,1
R93,44_n,20,20,24,27,13,25,29,41,14,33,4,12,14,21,27,27,20,1
R94,44_n,37,48,18,20,11,29,38,44,16,18,13,17,11,20,22,22,20,1
R95,44_n,32,37,18,27,17,29,32,41,16,22,13,18,10,19,22,22,20,1
R96,44_n,37,40,26,26,17,17,41,52,28,30,14,17,12,25,11,11,20,1
R97,44_n,36,37,18,27,17,19,30,30,16,19,7,15,13,25,53,67,20,1
R98,44_n,39,42,17,24,17,17,32,41,16,26,4,5,11,11,11,15,20,1
R99,44_n,37,41,17,27,7,17,54,57,16,19,17,17,10,15,18,27,20,1
R100,44_n,40,46,21,25,17,19,34,34,22,28,9,14,11,15,10,27,20,1
R101,44_n,31,40,19,29,9,17,53,53,22,30,12,14,8,14,69,70,20,1
R102,44_n,37,42,26,27,15,17,82,82,16,25,18,18,10,10,15,27,20,1
R103,44_n,41,45,16,21,15,23,44,44,16,16,18,19,8,8,12,25,20,1
R104,44_n,45,49,21,32,11,22,30,42,10,18,17,23,13,13,20,20,20,1
R105,44_n,20,36,20,26,19,21,32,38,25,28,7,11,14,33,17,20,20,1
R106,44_n,30,30,13,15,13,19,42,47,26,30,9,15,15,27,23,24,20,1
R107,44_n,37,42,18,26,17,17,40,41,16,28,13,17,12,20,11,27,20,1
R108,44_n,34,43,22,25,15,17,28,28,16,25,4,7,12,15,15,15,20,1
R109,44_n,48,49,22,25,13,17,34,41,26,29,12,15,11,28,24,27,20,1
R110,44_s,40,45,17,21,13,17,40,43,16,22,11,12,13,13,10,10,25,1
R111,44_s,28,38,19,27,17,21,39,39,15,16,5,15,13,23,10,15,25,1
R112,44_s,38,44,11,23,11,21,50,54,16,24,6,12,10,14,20,21,25,1
R113,44_s,37,43,24,26,15,23,43,44,16,17,12,16,14,14,20,20,25,1
R114,44_s,38,41,26,26,15,23,85,86,17,21,4,17,10,10,10,19,25,1
R115,44_s,34,43,13,26,15,19,38,42,16,18,13,19,10,13,22,42,25,1
R116,44_s,1,14,11,29,15,23,42,51,17,17,9,12,6,13,23,23,25,1
R117,44_s,34,43,21,23,9,11,38,38,22,32,7,10,9,15,10,17,25,1
R118,44_s,36,37,25,29,13,19,29,44,20,21,11,12,11,23,20,20,25,1
R119,44_s,34,39,23,26,15,19,41,42,21,23,13,19,10,10,10,22,25,1
R120,44_s,40,45,17,21,13,17,39,42,16,22,11,12,13,18,9,10,25,1
R121,44_s,44,45,17,25,13,21,39,52,16,21,10,11,13,24,11,30,25,1
R122,44_s,25,44,20,25,15,23,44,44,25,27,16,19,10,14,23,35,25,1
R123,44_s,36,36,18,23,15,15,39,43,27,31,11,11,14,14,29,30,25,1
R124,44_s,38,41,11,26,15,23,44,47,22,24,8,12,9,12,10,20,25,1
R125,44_s,36,44,25,25,15,15,43,46,18,19,16,17,9,15,14,35,25,1
R126,44_s,37,43,13,26,3,9,31,43,16,17,12,17,14,23,9,10,25,1
R127,44_s,20,44,11,26,1,20,38,46,24,28,7,11,10,13,17,20,25,1
R128,44_s,34,44,28,29,23,23,50,50,16,21,5,17,14,15,20,35,25,1
R129,44_s,28,39,19,23,15,17,39,41,16,16,15,19,10,13,10,10,25,1
R130,46_e,53,54,19,21,15,21,48,49,21,21,11,21,12,12,14,14,8,3
R131,46_e,41,46,18,24,11,21,45,50,16,18,11,18,13,14,28,29,8,3
R132,46_e,25,36,21,27,9,16,34,36,19,33,16,19,9,12,16,18,8,3
R133,46_e,38,42,11,11,15,23,38,43,13,18,10,13,8,12,8,11,8,3
R134,46_e,20,36,20,21,11,17,40,41,18,18,4,4,14,24,27,27,8,3
R135,46_e,38,46,26,27,15,24,49,49,16,21,9,21,13,23,10,11,8,3
R136,46_e,40,41,19,26,13,15,38,43,17,23,11,15,13,13,32,33,8,3
R137,46_n,25,40,24,27,13,27,42,48,16,19,12,15,15,24,10,12,8,4
R138,46_n,30,43,20,28,17,25,39,47,21,22,4,15,12,14,14,18,8,4
R139,46_n,20,34,13,15,15,19,20,36,16,26,12,19,11,11,11,11,8,4
R140,46_n,36,43,20,25,9,13,41,44,21,24,3,19,12,24,34,34,8,4
R141,46_n,36,36,20,26,9,21,49,49,21,23,13,16,11,20,45,46,8,4
R142,46_n,38,43,11,19,13,21,43,45,26,37,10,13,10,12,30,31,8,4
R143,46_n,31,38,27,31,17,17,43,44,21,22,4,12,13,15,10,27,8,4
R144,48B_e,30,31,11,34,15,25,37,37,15,26,4,16,13,15,25,26,10,2
R145,48B_e,23,38,20,28,17,17,51,54,16,25,2,6,8,18,48,60,10,2
R146,48B_e,30,36,21,28,15,19,40,40,16,18,10,13,12,12,11,13,10,2
R147,48B_e,25,34,21,26,13,15,35,53,15,15,10,13,13,13,22,22,10,2
R148,48B_e,39,40,26,27,17,21,46,49,14,16,5,13,11,12,58,59,10,2
R149,48B_e,10,11,20,20,17,19,37,43,17,20,9,16,8,13,13,22,10,2
R150,48B_e,31,32,27,34,15,15,36,36,14,15,4,12,8,14,22,22,10,2
R151,48B_e,30,40,26,33,15,15,37,37,26,36,4,9,12,12,26,58,10,2
R152,48B_e,14,14,26,27,17,21,43,43,14,16,5,13,12,19,11,11,10,2
R153,48B_e,15,34,17,22,23,25,36,38,15,16,13,16,8,14,26,26,10,2
R154,48B_e,36,44,18,25,19,21,38,75,18,24,13,13,12,19,9,10,10,2
R155,48B_s,21,40,14,31,7,15,40,42,16,25,21,22,12,13,25,26,10,2
R156,48B_s,21,38,13,14,9,17,31,41,16,23,10,13,13,15,17,17,10,2
R157,48B_s,28,47,14,25,7,19,50,54,13,16,15,17,18,18,28,56,10,2
R158,48B_s,39,40,18,21,17,21,42,49,16,17,21,31,13,20,21,31,10,2
R159,48B_s,38,43,25,31,15,15,42,42,15,16,9,13,11,15,14,17,10,2
R160,48B_s,38,39,14,27,15,15,40,41,16,16,10,19,12,14,29,32,10,2
R161,48B_s,22,39,14,30,15,15,40,41,16,26,19,19,12,14,26,26,10,2
R162,48B_s,31,48,11,23,16,18,31,41,16,23,10,13,13,14,7,11,10,2
R163,48B_s,23,23,21,27,21,25,42,47,16,16,4,16,8,13,26,27,10,2
R164,48B_s,38,42,24,31,11,11,38,39,16,18,13,13,10,13,34,35,10,2
R165,54B_e,40,41,19,24,12,21,39,39,16,16,12,12,13,13,10,20,5,3
R166,54B_e,38,41,22,25,7,9,29,29,16,18,12,16,14,14,25,26,5,3
R167,54B_e,41,41,11,24,9,13,29,49,16,18,5,12,12,12,54,72,5,3
R168,54B_e,41,41,25,25,7,7,29,41,16,16,4,18,13,13,18,27,5,3
R169,54B_e,39,41,22,24,9,17,29,29,16,18,12,12,13,15,10,12,5,3
R170,54B_e,37,38,19,25,15,21,29,40,16,23,5,12,12,15,52,53,5,3
R171,54B_e,37,41,11,26,13,15,37,38,16,17,5,12,8,12,9,10,5,3
R172,54B_e,41,42,25,26,13,29,29,29,16,16,12,12,13,19,11,12,5,3
R173,54B_e,40,41,17,22,9,17,37,39,15,16,13,15,11,18,10,27,5,3
R174,54B_e,22,42,17,19,13,19,37,37,16,27,3,6,14,25,27,28,5,3
R175,54B_e,35,40,17,17,15,25,45,46,17,17,5,12,12,18,9,9,5,3
R176,54B_e,35,39,17,24,17,25,29,29,16,16,12,12,13,18,65,66,5,3
R177,54B_e,41,42,24,24,17,29,29,29,16,18,11,12,12,12,11,11,5,3
R178,54B_e,37,39,24,26,9,29,29,29,26,31,23,28,15,20,12,12,5,3
R179,54B_e,39,40,18,24,9,29,29,29,27,27,10,18,7,13,65,66,5,3
R180,54B_e,41,42,19,24,9,25,29,30,26,31,12,18,15,20,66,67,5,3
R181,54B_e,38,45,18,21,23,29,29,42,26,26,4,11,8,14,9,9,5,3
R182,54B_e,38,38,22,25,15,23,29,38,24,27,12,12,13,17,27,27,5,3
R183,54B_e,25,40,19,24,17,21,29,36,17,17,4,18,12,13,11,11,5,3
R184,54B_e,22,22,18,20,15,25,35,35,18,18,4,19,10,11,54,54,5,3
R185,54B_e,41,42,24,26,17,29,1,1,16,18,10,12,13,13,11,11,5,3
R186,54B_e,44,49,24,28,11,13,38,39,17,23,11,11,22,22,21,68,5,3
R187,54B_e,32,42,19,25,21,23,51,51,17,22,4,12,13,13,54,54,5,3
R188,54B_e,35,36,18,20,7,19,43,44,15,23,12,12,13,17,11,11,5,3
R189,54B_e,22,34,19,26,21,25,8,33,16,28,12,15,14,21,29,30,5,3
R190,54B_e,22,40,17,26,21,25,29,29,16,28,7,12,14,21,11,11,5,3
R191,54B_e,22,34,18,27,21,23,29,29,17,23,12,19,8,15,29,30,5,3
R192,54B_e,40,42,19,26,21,29,30,30,21,28,18,18,21,25,11,11,5,3
R193,54B_w,39,40,11,17,17,25,29,29,14,18,3,12,14,18,50,51,5,3
R194,54B_w,36,39,17,29,17,17,29,42,14,18,14,14,14,18,10,14,5,3
R195,54B_w,41,42,11,11,21,25,29,42,14,17,4,4,10,18,1,4,5,3
R196,54B_w,26,40,11,11,17,23,29,37,14,15,5,5,18,20,25,53,5,3
R197,54B_w,40,41,11,24,17,21,29,47,17,17,4,12,14,18,49,51,5,3
R198,54B_w,41,44,11,27,7,17,45,53,16,22,4,17,11,23,21,21,5,3
R199,54B_w,39,40,11,11,17,21,29,46,17,18,4,12,14,18,50,51,5,3
R200,54B_w,35,37,11,20,21,25,30,30,16,20,12,12,12,12,11,11,5,3
R201,54B_w,28,38,18,28,16,16,29,42,14,18,14,14,13,17,11,51,5,3
R202,54B_w,47,48,11,19,9,17,23,24,16,16,14,14,8,18,9,9,5,3
R203,54B_w,39,40,11,29,1,17,42,42,14,14,4,14,18,18,20,51,5,3
R204,56B_n,35,43,20,20,17,21,50,50,15,16,8,19,8,14,10,22,10,2
R205,56B_n,36,42,19,26,11,27,41,41,16,16,10,16,11,20,17,22,10,2
R206,56B_n,31,36,25,25,16,16,40,46,18,20,5,17,12,17,25,29,10,2
R207,56B_n,22,26,14,15,9,17,41,47,17,17,5,12,8,23,11,11,10,2
R208,56B_n,35,42,21,24,9,21,42,49,14,17,10,18,8,14,15,15,10,2
R209,56B_n,9,16,19,26,11,19,40,41,16,17,11,15,14,22,10,10,10,2
R210,56B_n,36,47,15,25,11,23,40,40,10,16,16,24,11,22,17,17,10,2
R211,56B_n,42,44,21,27,7,21,40,49,14,18,19,20,14,23,21,21,10,2
R212,56B_n,38,41,11,17,9,23,37,46,23,29,13,23,7,7,22,22,10,2
R213,56B_n,25,43,21,24,9,21,36,49,24,27,10,14,14,14,52,52,10,2
R214,56B_n,37,41,19,25,17,21,44,44,25,28,12,15,20,20,12,12,10,2
R215,56B_n,28,34,21,21,11,17,37,37,12,16,17,17,12,12,11,63,10,2
R216,56B_n,38,39,23,24,19,21,42,42,17,22,11,13,15,24,16,16,10,2
R217,56B_s,38,41,11,18,13,15,41,41,16,20,18,18,14,17,11,11,10,3
R218,56B_s,18,21,21,26,7,7,41,41,17,34,5,8,14,15,18,23,10,3
R219,56B_s,36,41,11,19,13,21,41,41,16,20,16,18,17,23,11,14,10,3
R220,56B_s,41,57,18,23,21,23,28,28,14,16,5,14,13,20,13,20,10,3
R221,56B_s,38,42,17,18,15,15,44,45,16,16,12,18,14,20,33,33,10,3
R222,56B_s,5,16,15,26,17,21,41,47,14,14,5,13,6,13,32,32,10,3
R223,56B_s,1,8,11,18,13,15,41,48,16,16,12,18,17,20,14,36,10,3
R224,56B_s,37,44,17,26,9,21,28,47,14,26,12,12,13,20,13,20,10,3
R225,56B_s,37,38,24,24,9,19,41,44,15,17,5,20,8,13,66,67,10,3
R226,56B_s,36,39,23,25,13,21,41,41,15,16,5,8,17,20,12,13,10,3
R227,58E_e,42,44,11,22,13,19,46,47,16,19,11,13,8,12,15,15,16,1
R228,58E_e,38,45,26,27,17,21,46,46,15,15,1,19,9,13,20,29,16,1
R229,58E_e,38,42,22,30,23,23,34,34,15,19,1,13,12,17,15,15,16,1
R230,58E_e,27,38,20,27,13,23,43,46,19,27,2,23,14,17,20,29,16,1
R231,58E_e,36,40,19,22,19,19,46,47,15,18,11,12,15,19,20,20,16,1
R232,58E_e,28,29,11,25,6,27,40,44,12,16,10,12,12,12,45,46,16,1
R233,58E_e,41,42,22,22,23,25,48,54,16,16,10,21,12,12,10,22,16,1
R234,58E_e,29,40,22,27,13,19,37,37,15,15,12,12,14,15,18,24,16,1
R235,58E_e,27,35,19,24,14,19,42,42,18,21,10,35,13,18,11,20,16,1
R236,58E_e,27,42,25,28,13,19,46,54,16,27,10,23,8,12,22,29,16,1
R237,58E_e,29,36,19,22,17,19,42,46,15,17,5,7,12,16,11,11,16,1
R238,58E_e,27,41,19,24,19,23,45,47,27,37,21,23,7,11,10,20,16,1
R239,58E_e,31,48,10,21,7,15,38,44,15,16,12,40,12,12,20,20,16,1
R240,58E_e,29,38,24,26,17,27,38,43,27,31,1,12,9,12,20,20,16,1
R241,58E_e,31,36,22,25,11,22,53,54,16,18,2,14,10,13,11,11,16,1
R242,58E_e,36,38,22,26,19,23,30,30,16,16,12,23,14,19,29,33,16,1
R243,58E_n,42,43,14,15,13,25,44,45,13,16,13,13,8,23,19,28,16,2
R244,58E_n,35,44,14,27,23,23,42,43,16,19,11,11,18,22,28,29,16,2
R245,58E_n,31,53,11,27,19,19,44,45,19,23,11,19,10,17,11,16,16,2
R246,58E_n,38,38,27,27,13,23,36,44,15,17,2,6,13,19,18,55,16,2
R247,58E_n,34,38,14,14,7,17,39,39,13,16,9,12,12,18,23,28,16,2
R248,58E_n,42,44,11,24,19,23,43,44,16,21,13,15,8,13,26,29,16,2
R249,58E_n,38,47,11,21,13,21,37,37,16,22,12,13,10,14,10,13,16,2
R250,58E_n,35,42,14,18,6,15,41,41,13,16,12,12,17,17,13,13,16,2
R251,58E_n,22,43,13,18,11,15,42,42,16,20,12,14,12,18,11,14,16,2
R252,58E_n,34,40,11,27,11,23,47,47,13,16,14,18,11,11,29,29,16,2
R253,58E_n,40,42,19,28,11,19,55,58,17,21,11,13,8,11,27,33,16,2
R254,58E_n,38,45,11,20,13,19,34,45,13,13,14,18,12,16,26,26,16,2
R255,58E_n,35,42,18,24,15,23,44,45,17,21,11,14,9,22,31,31,16,2
R256,58E_n,35,39,26,27,19,23,46,47,16,22,14,17,11,11,28,29,16,2
R257,58E_n,31,42,11,20,23,29,46,50,16,21,18,24,8,12,17,29,16,2
R258,58E_n,30,40,24,28,11,11,45,45,13,17,8,11,8,13,22,22,16,2
R259,58E_n,28,40,24,28,11,17,46,46,16,21,4,4,11,14,29,29,16,2
R260,58E_n,35,38,24,27,23,23,43,43,27,27,10,11,13,22,54,55,16,2
R261,58E_n,27,28,7,23,13,23,43,44,18,18,13,17,12,16,26,26,16,2
R262,58E_n,40,42,10,24,7,17,39,42,15,16,15,18,16,16,14,14,16,2
R263,58E_n,9,14,20,22,15,24,42,43,13,18,4,17,13,14,19,19,16,2
R264,58E_n,40,42,19,28,11,19,43,43,17,17,11,13,8,11,28,29,16,2
R265,58E_n,29,43,26,27,15,17,28,39,20,33,18,19,8,22,22,22,16,2
R266,58E_n,31,42,11,27,19,29,49,49,14,19,4,18,12,12,11,17,16,2
R267,58E_n,31,39,23,27,21,31,40,41,15,16,11,14,8,20,28,29,16,2
R268,58E_n,22,43,25,27,11,25,42,42,16,16,14,14,8,18,14,19,16,2
R269,58E_n,34,44,18,28,11,13,48,53,15,16,14,18,11,13,29,30,16,2
R270,58E_w,38,48,22,30,9,23,34,34,14,17,11,11,12,17,10,14,16,1
R271,58E_w,42,47,23,24,23,25,41,47,13,14,7,12,23,28,26,27,16,1
R272,58E_w,48,49,11,11,7,23,38,48,13,19,12,23,13,22,27,28,16,1
R273,58E_w,39,44,11,39,15,23,41,41,13,24,11,20,13,22,11,11,16,1
R274,58E_w,34,41,24,28,15,27,39,42,13,19,11,23,18,22,17,17,16,1
R275,58E_w,42,44,21,24,7,17,41,41,15,26,8,12,12,18,21,26,16,1
R276,58E_w,39,40,24,26,17,23,38,39,16,17,2,2,13,23,17,17,16,1
R277,58E_w,29,48,20,27,15,15,39,42,16,24,5,11,9,13,21,24,16,1
R278,59_e,32,43,20,26,15,25,49,51,16,19,5,5,12,18,13,17,37,2
R279,59_e,38,40,23,28,9,17,38,43,11,35,9,27,12,15,20,20,37,2
R280,59_e,33,45,18,20,19,23,42,45,15,19,10,16,14,19,10,17,37,2
R281,59_e,33,45,18,20,19,23,42,44,15,17,10,16,14,19,10,17,37,2
R282,59_e,29,38,20,25,19,21,43,45,1,5,12,14,15,15,10,10,37,2
R283,59_e,44,45,11,27,7,23,44,49,25,36,13,15,13,18,22,22,37,2
R284,59_e,31,45,17,27,17,27,38,43,15,17,18,18,8,11,27,28,37,2
R285,59_n,31,45,18,20,17,23,37,37,20,21,15,16,14,22,27,28,33,2
R286,59_n,23,40,20,27,7,19,44,45,17,21,7,12,12,23,46,47,33,2
R287,59_n,31,36,13,15,21,23,44,45,16,17,21,21,13,23,10,21,33,2
R288,59_n,31,34,11,11,25,25,36,48,10,17,1,3,13,16,24,30,33,2
R289,59_n,30,44,18,25,12,22,47,61,15,19,12,21,13,20,10,17,33,2
R290,59_n,31,36,18,27,15,19,36,47,15,19,18,20,16,18,12,16,33,2
R291,59_n,33,41,11,21,6,27,43,47,15,17,15,22,8,8,10,14,33,2
R292,59_n,44,45,20,24,7,23,37,50,15,32,7,20,13,23,27,28,33,2
R293,59_n,31,33,11,20,7,25,46,46,15,32,22,37,17,23,56,57,33,2
R294,59_n,38,45,25,28,7,25,48,48,15,15,9,10,15,22,23,23,33,2
R295,59_n,31,45,18,20,17,23,37,50,20,25,16,16,13,22,25,32,33,2
R296,59_n,44,45,18,28,7,17,37,49,12,16,6,7,22,22,13,20,33,2
R297,59_n,36,44,20,25,7,25,45,45,17,19,19,20,9,19,10,21,33,2
R298,59_n,35,36,11,25,7,31,37,40,16,24,5,21,18,23,18,18,33,2
R299,59_n,32,32,20,24,7,27,28,36,15,33,4,4,9,14,4,27,33,2
R300,59_n,29,31,18,28,7,23,37,37,15,20,10,15,13,13,27,28,33,2
R301,59_n,29,45,20,20,7,23,36,48,15,21,10,15,13,13,12,13,33,2
R302,59_n,35,36,20,27,7,19,39,39,15,21,14,20,8,17,11,25,33,2
R303,59_n,30,36,11,35,9,19,38,46,16,20,11,12,8,18,10,10,33,2
R304,59_n,25,25,11,18,9,25,46,46,15,19,7,15,8,14,10,10,33,2
R305,59_s,37,39,20,27,13,15,41,44,13,23,2,5,16,17,10,10,41,1
R306,59_s,42,44,14,21,7,13,45,46,15,17,12,13,17,18,22,27,41,1
R307,59_s,44,45,11,23,11,17,41,46,13,27,10,17,14,18,11,11,41,1
R308,59_s,29,38,14,20,7,7,42,47,15,17,10,12,17,23,9,11,41,1
