Ri,Enclosure,HL,IR,Locus,Nr 52.2,Locus,Nr 52.4,Locus,Nr 52.7,Locus,Nr 52.11,Locus,Nr 60.2,Locus,Nr 60.5,Locus,Nr 60.11,Locus,Nr 60.34
R59,44_e,0.1267455812,0.0469302365,278,306,246,262,262,266,368,368,333,345,212,224,427,431,212,224
R60,44_e,0.1224046281,0.074629924,314,316,252,262,262,266,390,408,377,377,226,250,417,427,320,324
R61,44_e,0.1224789711,0.0653099437,278,306,246,250,262,262,368,408,365,371,230,234,427,431,228,320
R62,44_e,0.1276459637,0.0713854124,268,300,254,258,242,270,392,408,331,357,220,226,419,447,226,226
R63,44_e,0.1276459637,0.0585292117,304,308,244,248,254,286,386,394,335,355,228,236,421,451,220,220
R64,44_e,0.1272422098,0.0664443211,268,268,248,262,254,266,386,394,361,365,212,232,425,431,222,246
R65,44_e,0.1251973113,0.0643697491,302,304,246,260,250,262,396,406,345,355,226,226,417,425,222,246
R66,44_e,0.254391545,0.2007889236,278,308,246,262,262,266,368,368,353,365,214,246,429,431,318,318
R67,44_e,0.1276459637,0.0590871984,268,302,244,260,254,262,406,408,341,353,226,246,427,439,220,220
R68,44_e,0.1224789711,0.0592261135,304,308,248,258,278,278,404,412,341,361,224,236,419,429,220,246
R69,44_e,0.252843275,0.2054740649,268,304,246,250,250,258,378,406,339,347,224,224,405,421,230,230
R70,44_e,0.6299190896,0.5888593263,296,296,246,246,254,278,388,388,333,335,224,226,431,431,222,222
R71,44_e,0.1276459637,0.0575258537,302,306,230,256,254,286,428,446,333,337,214,220,433,447,222,222
R72,44_e,0.2476762823,0.1841626571,298,300,244,258,262,262,394,410,333,351,234,234,427,449,222,322
R73,44_e,0.1224046281,0.0697271318,312,320,246,254,250,274,368,402,337,337,222,230,419,429,254,258
R74,44_e,0,-0.0727792995,308,322,248,258,254,274,386,394,357,361,228,232,421,427,220,246
R75,44_e,0.1236211779,0.0563445197,278,316,250,262,266,278,368,386,347,357,224,228,427,427,234,246
R76,44_e,0.3755275446,0.3368050185,314,314,246,246,244,248,382,400,339,345,210,224,427,427,234,250
R77,44_e,0.1276459637,0.0555864065,292,308,260,270,262,270,386,394,333,367,228,230,427,433,246,246
R78,44_e,0.1276459637,0.0590068325,308,316,246,260,262,266,368,394,337,345,214,234,427,451,246,246
R79,44_e,0.1267455812,0.0689974377,306,308,240,260,250,270,384,384,351,355,228,232,419,427,222,246
R80,44_e,0.252843275,0.2005672349,298,308,232,250,272,286,396,432,333,361,232,232,427,447,222,222
R81,44_e,0.2548881735,0.1955951541,278,278,258,262,264,272,368,388,333,339,224,232,427,433,234,234
R82,44_e,0,-0.0832544287,268,306,248,258,274,286,396,410,331,361,224,230,427,431,220,222
R83,44_e,0.1267455812,0.0457401892,308,316,254,262,262,266,368,368,321,331,214,224,427,431,220,224
R84,44_n,0,-0.0684474788,282,316,244,252,262,266,378,398,339,353,218,224,425,433,252,254
R85,44_n,0.2501249348,0.1854727629,312,318,240,244,262,262,392,408,333,351,218,224,431,439,234,234
R86,44_n,0,-0.0692263557,298,306,248,258,254,266,386,392,339,361,208,212,425,431,246,248
R87,44_n,0.376870516,0.3229114631,306,308,248,250,266,266,368,368,333,353,220,230,423,431,312,312
R88,44_n,0.1276459637,0.0640898118,268,308,244,258,258,266,390,392,339,351,214,228,419,435,234,234
R89,44_n,0,-0.0707603359,292,302,244,262,262,286,374,392,333,345,226,236,423,443,244,254
R90,44_n,0.2512671416,0.2048968542,296,314,250,260,242,286,386,390,313,331,220,224,433,433,210,210
R91,44_n,0,-0.0566581094,316,324,240,248,250,278,402,404,337,345,226,228,425,429,246,252
R92,44_n,0.2519428925,0.1991913584,292,316,244,248,278,286,374,374,333,345,226,226,423,429,226,244
R93,44_n,0.2548881735,0.2010148228,268,268,256,262,254,278,368,392,329,367,208,224,431,445,254,254
R94,44_n,0.1276459637,0.0630794526,302,324,244,248,250,286,386,398,333,337,226,234,425,443,244,244
R95,44_n,0.1276459637,0.0633548899,292,302,244,262,262,286,374,392,333,345,226,236,423,441,244,244
R96,44_n,0.3747890918,0.323556273,302,308,260,260,262,262,392,414,357,361,228,234,427,453,222,222
R97,44_n,0.1267455812,0.0638385555,300,302,244,262,262,266,370,370,333,339,214,230,429,453,306,334
R98,44_n,0.2461001489,0.1854755937,306,312,242,256,262,262,374,392,333,353,208,210,425,425,222,230
R99,44_n,0.1251973113,0.0643790629,302,310,242,262,242,262,418,424,333,339,234,234,423,433,236,254
R100,44_n,0.1267455812,0.067398427,308,320,250,258,262,266,378,378,345,357,218,228,425,433,220,254
R101,44_n,0.1267455812,0.0736521918,290,308,246,266,246,262,416,416,345,361,224,228,419,431,338,340
R102,44_n,0.3755640703,0.3322295626,302,312,260,262,258,262,474,474,333,351,236,236,423,423,230,254
R103,44_n,0.3727713872,0.3219187724,310,318,240,250,258,274,398,398,333,333,236,238,419,419,224,250
R104,44_n,0.2512671416,0.2116548593,318,326,250,272,250,272,370,394,321,337,234,246,429,429,240,240
R105,44_n,0,-0.0577127323,268,300,248,260,266,270,374,386,351,357,214,222,431,469,234,240
R106,44_n,0.1272422098,0.0873676198,288,288,234,238,254,266,394,404,353,361,218,230,433,457,246,248
R107,44_n,0.1224789711,0.0394563606,302,312,244,260,262,262,390,392,333,357,226,234,427,443,222,254
R108,44_n,0.254391545,0.198154188,296,314,252,258,258,262,366,366,333,351,208,214,427,433,230,230
R109,44_n,0,-0.0592268869,324,326,252,258,254,262,378,392,353,359,224,230,425,459,248,254
R110,44_s,0.2512671416,0.1722752218,308,318,242,250,254,262,390,396,333,345,222,224,429,429,220,220
R111,44_s,0.1267455812,0.0502792026,284,304,246,262,262,270,388,388,331,333,210,230,429,449,220,230
R112,44_s,0,-0.0735360072,304,316,230,254,250,270,410,418,333,349,212,224,423,431,240,242
R113,44_s,0.2512671416,0.178623038,302,314,256,260,258,274,396,398,333,335,224,232,431,431,240,240
R114,44_s,0.2482853349,0.2010328992,304,310,260,260,258,274,480,482,335,343,208,234,423,423,220,238
R115,44_s,0,-0.076903074,296,314,234,260,258,266,386,394,333,337,226,238,423,429,244,284
R116,44_s,0.2500505918,0.2004480992,230,256,230,266,258,274,394,412,335,335,218,224,415,429,246,246
R117,44_s,0.1267455812,0.0772551756,296,314,250,254,246,250,386,386,345,365,214,220,421,433,220,234
R118,44_s,0.1276459637,0.0628094018,300,302,258,266,254,266,368,398,341,343,222,224,425,449,240,240
R119,44_s,0.1236211779,0.0626687678,296,306,254,260,258,266,392,394,343,347,226,238,423,423,220,244
R120,44_s,0,-0.0932338561,308,318,242,250,254,262,388,394,333,345,222,224,429,439,218,220
R121,44_s,0,-0.072917595,316,318,242,258,254,270,388,414,333,343,220,222,429,451,222,260
R122,44_s,0.1267455812,0.0711823768,278,316,248,258,258,274,398,398,351,355,232,238,423,431,246,270
R123,44_s,0.49853967,0.4687576068,300,300,244,254,258,258,388,396,355,363,222,222,431,431,258,260
R124,44_s,0,-0.0818402204,304,310,230,260,258,274,398,404,345,349,216,224,421,427,220,240
R125,44_s,0.2471431281,0.2042194534,300,316,258,258,258,258,396,402,337,339,232,234,421,433,228,270
R126,44_s,0,-0.0714483985,302,314,234,260,234,246,372,396,333,335,224,234,431,449,218,220
R127,44_s,0,-0.0513502982,268,316,230,260,230,268,386,402,349,357,214,222,423,429,234,240
R128,44_s,0.2492245523,0.2023449595,296,316,264,266,274,274,410,410,333,343,210,234,431,433,240,270
R129,44_s,0.2500505918,0.1758263048,284,306,246,254,258,262,388,392,333,333,230,238,423,429,220,220
R130,46_e,0.3736717697,0.3376097595,334,336,246,250,258,270,406,408,343,343,222,242,427,427,228,228
R131,46_e,0,-0.0700591654,310,320,244,256,250,270,400,410,333,337,222,236,429,431,256,258
R132,46_e,0,-0.0468928576,278,300,250,262,246,260,378,382,339,367,232,238,421,427,232,236
R133,46_e,0.124664157,0.0438446015,304,312,230,230,258,274,386,396,327,337,220,226,419,427,216,222
R134,46_e,0.3752479031,0.3300448675,268,300,248,250,250,262,390,392,337,337,208,208,431,451,254,254
R135,46_e,0.1267455812,0.0590858738,304,320,260,262,258,276,408,408,333,343,218,242,429,449,220,222
R136,46_e,0.1236211779,0.0606438185,308,310,246,260,254,258,386,396,335,347,222,230,429,429,264,266
R137,46_n,0,-0.0811312696,278,308,256,262,254,282,394,406,333,339,224,230,433,451,220,224
R138,46_n,0,-0.0660670519,288,314,248,264,262,278,388,404,343,345,208,230,427,431,228,236
R139,46_n,0.2512671416,0.1955477128,268,296,234,238,258,266,350,382,333,353,224,238,425,425,222,222
R140,46_n,0.1276459637,0.0721092226,300,314,248,258,246,254,392,398,343,349,206,238,427,451,268,268
R141,46_n,0.253987791,0.2082952015,300,300,248,260,246,270,408,408,343,347,226,232,425,443,290,292
R142,46_n,0,-0.0692945428,304,314,230,246,254,270,396,400,353,375,220,226,423,427,260,262
R143,46_n,0.1224789711,0.0479066928,290,304,262,270,262,262,396,398,343,345,208,224,429,433,220,254
R144,48B_e,0.1267455812,0.0737762862,288,290,230,276,258,278,384,384,331,353,208,232,429,433,250,252
R145,48B_e,0.1224789711,0.0669984669,274,304,248,264,262,262,412,418,333,351,204,212,419,439,296,320
R146,48B_e,0.2503667591,0.1773492004,288,300,250,264,258,266,390,390,333,337,220,226,427,427,222,226
R147,48B_e,0.3736717697,0.3270470049,278,296,250,260,254,258,380,416,331,331,220,226,429,429,244,244
R148,48B_e,0,-0.0822276691,306,308,260,262,262,270,402,408,329,333,210,226,425,427,316,318
R149,48B_e,0.124664157,0.0651090373,248,250,248,248,262,266,384,396,335,341,218,232,419,429,226,244
R150,48B_e,0.376870516,0.3324664147,290,292,262,276,258,258,382,382,329,331,208,224,419,431,244,244
R151,48B_e,0.3728457302,0.338411633,288,308,260,274,258,258,384,384,353,373,208,218,427,427,252,316
R152,48B_e,0.3816337547,0.3200850906,256,256,260,262,262,270,396,396,329,333,210,226,427,441,222,222
R153,48B_e,0.1276459637,0.0623439655,258,296,242,252,274,278,382,386,331,333,226,232,419,431,252,252
R154,48B_e,0.1251973113,0.0617370067,300,316,244,258,266,270,386,460,337,349,226,226,427,441,218,220
R155,48B_s,0,-0.0669976118,270,308,236,270,242,258,390,394,333,351,242,244,427,429,250,252
R156,48B_s,0.1276459637,0.0575128589,270,304,234,236,246,262,372,392,333,347,220,226,429,433,234,234
R157,48B_s,0.1236211779,0.0764809622,284,322,236,258,242,266,410,418,327,333,230,234,439,439,256,312
R158,48B_s,0,-0.0761960284,306,308,244,250,262,270,394,408,333,335,242,262,429,443,242,262
R159,48B_s,0.2492245523,0.1876654201,304,314,258,270,258,258,394,394,331,333,218,226,425,433,228,234
R160,48B_s,0.2448835992,0.1752744597,304,306,236,262,258,258,390,392,333,333,220,238,427,431,258,264
R161,48B_s,0.375322246,0.3300448675,272,306,236,268,258,258,390,392,333,353,238,238,427,431,252,252
R162,48B_s,0,-0.0747112933,290,324,230,254,260,264,372,392,333,347,220,226,429,431,214,222
R163,48B_s,0.2496468379,0.1884412924,274,274,250,262,270,278,394,404,333,333,208,232,419,429,252,254
R164,48B_s,0.2476762823,0.1956530048,304,312,256,270,250,250,386,388,333,337,226,226,423,429,268,270
R165,54B_e,0.4979686984,0.4460036344,308,310,246,256,252,270,388,388,333,333,224,224,429,429,220,240
R166,54B_e,0.2503667591,0.1874344692,304,310,252,258,242,246,368,368,333,337,224,232,431,431,250,252
R167,54B_e,0.2508633877,0.1815252141,310,310,230,256,246,254,368,408,333,337,210,224,427,427,308,344
R168,54B_e,0.6204111438,0.5898548096,310,310,258,258,242,242,368,392,333,333,208,236,429,429,236,254
R169,54B_e,0.2519428925,0.1746673157,306,310,252,256,246,262,368,368,333,337,224,224,429,433,220,224
R170,54B_e,0,-0.0820001051,302,304,246,258,258,270,368,390,333,347,210,224,427,433,304,306
R171,54B_e,0,-0.1014190899,302,310,230,260,254,258,384,386,333,335,210,224,419,427,218,220
R172,54B_e,0.3743475206,0.3084814287,310,312,258,260,254,286,368,368,333,333,224,224,429,441,222,224
R173,54B_e,0,-0.0865055895,308,310,242,252,246,262,384,388,331,333,226,230,425,439,220,254
R174,54B_e,0.1267455812,0.0708617268,272,312,242,246,254,266,384,384,333,355,206,212,431,453,254,256
R175,54B_e,0.3747147488,0.3297137652,298,308,242,242,258,278,400,402,335,335,210,224,427,439,218,218
R176,54B_e,0.3743475206,0.3134439638,298,306,242,256,262,278,368,368,333,333,224,224,429,439,330,332
R177,54B_e,0.5026768798,0.4461660916,310,312,256,256,262,286,368,368,333,337,222,224,427,427,222,222
R178,54B_e,0.254391545,0.2164225241,302,306,256,260,246,286,368,368,353,363,246,256,433,443,224,224
R179,54B_e,0.2491502093,0.2082891231,306,308,244,256,246,286,368,368,355,355,220,236,417,429,330,332
R180,54B_e,0,-0.0510485911,310,312,246,256,246,278,368,370,353,363,224,236,433,443,332,334
R181,54B_e,0.2500505918,0.202445889,304,318,244,250,274,286,368,394,353,353,208,222,419,431,218,218
R182,54B_e,0.3800854848,0.3206311118,304,304,252,258,258,274,368,386,349,355,224,224,429,437,254,254
R183,54B_e,0.2500505918,0.1825487989,278,308,246,256,262,270,368,382,335,335,208,236,427,429,222,222
R184,54B_e,0.5040383828,0.4770345117,272,272,244,248,258,278,380,380,337,337,208,238,423,425,308,308
R185,54B_e,0.3780127228,0.3131518071,310,312,256,260,262,286,312,312,333,337,220,224,429,429,222,222
R186,54B_e,0.2488184891,0.2153199235,316,326,256,264,250,254,386,388,335,347,222,222,447,447,242,336
R187,54B_e,0.3780127228,0.3343359154,292,312,246,258,270,274,412,412,335,345,208,224,429,429,308,308
R188,54B_e,0.252843275,0.1774095739,298,300,244,248,242,266,396,398,331,347,224,224,429,437,222,222
R189,54B_e,0,-0.0604212486,272,296,246,260,270,278,326,376,333,357,224,230,431,445,258,260
R190,54B_e,0.254391545,0.1872565577,272,308,242,260,270,278,368,368,333,357,214,224,431,445,222,222
R191,54B_e,0.1267455812,0.0667833738,272,296,244,262,270,274,368,368,335,347,224,238,419,433,258,260
R192,54B_e,0.3795888562,0.3408130296,308,312,246,260,270,286,370,370,343,357,236,236,445,453,222,222
R193,54B_w,0.1267455812,0.0615931227,306,308,230,242,262,278,368,368,329,337,206,224,431,439,300,302
R194,54B_w,0.2476762823,0.1903263181,300,306,242,266,262,262,368,394,329,337,228,228,431,439,220,228
R195,54B_w,0.2498614682,0.2002119545,310,312,230,230,270,278,368,394,329,335,208,208,423,439,202,208
R196,54B_w,0.2498614682,0.197277827,280,308,230,230,262,274,368,384,329,331,210,210,439,443,250,306
R197,54B_w,0.1224046281,0.0524945732,308,310,230,256,262,270,368,404,335,335,208,224,431,439,298,302
R198,54B_w,0.1276459637,0.0639022199,310,316,230,262,242,262,400,416,333,345,208,234,425,449,242,242
R199,54B_w,0.124664157,0.051803054,306,308,230,230,262,270,368,402,335,337,208,224,431,439,300,302
R200,54B_w,0.5032100341,0.4488062535,298,302,230,248,270,278,370,370,333,341,224,224,427,427,222,222
R201,54B_w,0.2476762823,0.2048377503,284,304,244,264,260,260,368,394,329,337,228,228,429,437,222,302
R202,54B_w,0.3752479031,0.3271458556,322,324,230,246,246,262,356,358,333,333,228,228,419,439,218,218
R203,54B_w,0.3727713872,0.3338423863,306,308,230,266,230,262,394,394,329,329,208,228,439,439,240,302
R204,56B_n,0.2514097382,0.1875045108,298,314,248,248,262,270,410,410,331,333,216,238,419,431,220,244
R205,56B_n,0.2491502093,0.1852871683,300,312,246,260,250,282,392,392,333,333,220,232,425,443,234,244
R206,56B_n,0.2471431281,0.2064865357,290,300,258,258,260,260,390,402,337,341,210,234,427,437,250,258
R207,56B_n,0.2500505918,0.1917393873,272,280,236,238,246,262,392,404,335,335,210,224,419,449,222,222
R208,56B_n,0.1276459637,0.065642564,298,312,250,256,246,270,394,408,329,335,220,236,419,431,230,230
R209,56B_n,0.1276459637,0.053935153,246,260,246,260,250,266,390,392,333,335,222,230,431,447,220,220
R210,56B_n,0.254391545,0.2044991438,300,322,238,258,250,274,390,390,321,333,232,248,425,447,234,234
R211,56B_n,0.1276459637,0.078044625,312,316,250,262,242,270,390,408,329,337,238,240,431,449,242,242
R212,56B_n,0.2512671416,0.2090824164,304,310,230,242,246,274,384,402,347,359,226,246,417,417,244,244
R213,56B_n,0.2512671416,0.2095336112,278,314,250,256,246,270,382,408,349,355,220,228,431,431,304,304
R214,56B_n,0.3780127228,0.3347992611,302,310,246,258,262,270,398,398,351,357,224,230,443,443,224,224
R215,56B_n,0.5002282273,0.4595558194,284,296,250,250,250,262,384,384,325,333,234,234,427,427,222,326
R216,56B_n,0.254391545,0.2003238429,304,306,254,256,266,270,394,394,335,345,222,226,433,451,232,232
R217,56B_s,0.3795888562,0.3126241544,304,310,230,244,254,258,392,392,333,341,236,236,431,437,222,222
R218,56B_s,0.2492245523,0.2078317594,264,270,250,260,242,242,392,392,335,369,210,216,431,433,236,246
R219,56B_s,0.1267455812,0.0508904387,300,310,230,246,254,270,392,392,333,341,232,236,437,449,222,228
R220,56B_s,0.1267455812,0.0700042826,310,342,244,254,270,274,366,366,329,333,210,228,429,443,226,240
R221,56B_s,0.3725295629,0.3182358394,304,312,242,244,258,258,398,400,333,333,224,236,431,443,266,266
R222,56B_s,0.2500505918,0.2084013154,238,260,238,260,262,270,392,404,329,329,210,226,415,429,264,264
R223,56B_s,0.1224046281,0.0507610344,230,244,230,244,254,258,392,406,333,333,224,236,437,443,228,272
R224,56B_s,0.1251973113,0.0680660945,302,316,242,260,246,270,366,404,329,353,224,224,429,443,226,240
R225,56B_s,0.124664157,0.0593446887,302,304,256,256,246,266,392,398,331,335,210,240,419,429,332,334
R226,56B_s,0.1267455812,0.0587294208,300,306,254,258,254,270,392,392,331,333,210,216,437,443,224,226
R227,58E_e,0.1276459637,0.0491002148,312,316,230,252,254,266,402,404,333,339,222,226,419,427,230,230
R228,58E_e,0.2491502093,0.1965280321,304,318,260,262,262,270,402,402,331,331,202,238,421,429,240,258
R229,58E_e,0.376870516,0.3339038335,304,312,252,268,274,274,378,378,331,339,202,226,427,437,230,230
R230,58E_e,0,-0.0667580327,282,304,248,262,254,274,396,402,339,355,204,246,431,437,240,258
R231,58E_e,0.2501249348,0.1922151366,300,308,246,252,266,266,402,404,331,337,222,224,433,441,240,240
R232,58E_e,0.1236211779,0.0553129085,284,286,230,258,240,282,390,398,325,333,220,224,427,427,290,292
R233,58E_e,0.3706899629,0.3146694714,310,312,252,252,274,278,406,418,333,333,220,242,427,427,220,244
R234,58E_e,0.3743475206,0.3216795151,286,308,252,262,254,266,384,384,331,331,224,224,431,433,236,248
R235,58E_e,0.1267455812,0.064626393,282,298,246,256,256,266,394,394,337,343,220,270,429,439,222,240
R236,58E_e,0,-0.075171333,282,312,258,264,254,266,402,418,333,355,220,246,419,427,244,258
R237,58E_e,0.1276459637,0.0475592115,286,300,246,252,262,266,394,402,331,335,210,214,427,435,222,222
R238,58E_e,0,-0.0546329761,282,310,246,256,266,274,400,404,355,375,242,246,417,425,220,240
R239,58E_e,0.2512671416,0.1835001394,290,324,228,250,242,258,386,398,331,333,224,280,427,427,240,240
R240,58E_e,0.1276459637,0.0635552388,286,304,256,260,262,282,386,396,355,363,202,224,421,427,240,240
R241,58E_e,0.1276459637,0.0607934195,290,300,252,258,250,272,416,418,333,337,204,228,423,429,222,222
R242,58E_e,0.2491502093,0.18357461,300,304,252,260,266,274,370,370,333,333,224,246,431,441,258,266
R243,58E_n,0.1251973113,0.0636899231,312,314,236,238,254,278,398,400,327,333,226,226,419,449,238,256
R244,58E_n,0.2476762823,0.1972724531,298,316,236,262,274,274,394,396,333,339,222,222,439,447,256,258
R245,58E_n,0.1224789711,0.0637573964,290,334,230,262,266,266,398,400,339,347,222,238,423,437,222,232
R246,58E_n,0.2519063668,0.1953640446,304,304,262,262,254,274,382,398,331,335,204,212,429,441,236,310
R247,58E_n,0.2514097382,0.1913329679,296,304,236,236,242,262,388,388,327,333,218,224,427,439,246,256
R248,58E_n,0,-0.0908245609,312,316,230,256,266,274,396,398,333,343,226,230,419,429,252,258
R249,58E_n,0.1267455812,0.0474269362,304,322,230,250,254,270,384,384,333,345,224,226,423,431,220,226
R250,58E_n,0.5032100341,0.4592712639,298,312,236,244,240,258,392,392,327,333,224,224,437,437,226,226
R251,58E_n,0.1267455812,0.0509609671,272,314,234,244,250,258,394,394,333,341,224,228,427,439,222,228
R252,58E_n,0.3780127228,0.3285506465,296,308,230,262,250,274,404,404,327,333,228,236,425,425,258,258
R253,58E_n,0,-0.060572083,308,312,246,264,250,266,420,426,335,343,222,226,419,425,254,266
R254,58E_n,0.2500505918,0.1970505597,304,318,230,248,254,266,378,400,327,327,228,236,427,435,252,252
R255,58E_n,0.1276459637,0.0736373553,298,312,244,256,258,274,398,400,335,343,222,228,421,447,262,262
R256,58E_n,0.1236211779,0.061193588,298,306,260,262,266,274,402,404,333,345,228,234,425,425,256,258
R257,58E_n,0,-0.0786867765,290,312,230,248,274,286,402,410,333,343,236,248,419,427,234,258
R258,58E_n,0.376870516,0.3376544838,288,308,256,264,250,250,400,400,327,335,216,222,419,429,244,244
R259,58E_n,0.3795888562,0.3292301111,284,308,256,264,250,262,402,402,333,343,208,208,425,431,258,258
