Attribute,Normal?,avg,med,|avg - med|,0.65 < x < 0.71,0.9 < x < 0.98,x > 0.97
Nr 52.2,False,39.698005698,41.0,1.30199430199,0.837606837607,0.951566951567,0.974358974359
Nr 52.4,False,23.3418803419,25.0,1.65811965812,0.780626780627,0.94301994302,0.997150997151
Nr 52.7,True,20.7635327635,21.0,0.236467236467,0.692307692308,0.960113960114,1.0
Nr 52.11,False,42.8831908832,43.0,0.116809116809,0.811965811966,0.934472934473,0.991452991453
Nr 60.2,False,20.6068376068,19.0,1.60683760684,0.609686609687,0.954415954416,0.997150997151
Nr 60.5,False,14.5042735043,14.0,0.504273504274,0.783475783476,0.925925925926,1.0
Nr 60.11,True,16.188034188,16.0,0.188034188034,0.660968660969,0.962962962963,1.0
Nr 60.34,False,21.2735042735,20.0,1.2735042735,0.635327635328,0.951566951567,1.0
