,Enclosure,Nr 52.2 Locus,Nr 52.2,Nr 52.4 Locus,Nr 52.4,Nr 52.7 Locus,Nr 52.7,Nr 52.11 Locus,Nr 52.11,Nr 60.2 Locus,Nr 60.2,Nr 60.5 Locus,Nr 60.5,Nr 60.11 Locus,Nr 60.11,Nr 60.34 Locus,Nr 60.34
154,48B_s,270,308,236,270,242,258,390,394,333,351,242,244,427,429,250,252
155,48B_s,270,304,234,236,246,262,372,392,333,347,220,226,429,433,234,234
156,48B_s,284,322,236,258,242,266,410,418,327,333,230,234,439,439,256,312
157,48B_s,306,308,244,250,262,270,394,408,333,335,242,262,429,443,242,262
158,48B_s,304,314,258,270,258,258,394,394,331,333,218,226,425,433,228,234
159,48B_s,304,306,236,262,258,258,390,392,333,333,220,238,427,431,258,264
160,48B_s,272,306,236,268,258,258,390,392,333,353,238,238,427,431,252,252
161,48B_s,290,324,230,254,260,264,372,392,333,347,220,226,429,431,214,222
162,48B_s,274,274,250,262,270,278,394,404,333,333,208,232,419,429,252,254
163,48B_s,304,312,256,270,250,250,386,388,333,337,226,226,423,429,268,270
