,Enclosure,Nr 52.2 Locus,Nr 52.2,Nr 52.4 Locus,Nr 52.4,Nr 52.7 Locus,Nr 52.7,Nr 52.11 Locus,Nr 52.11,Nr 60.2 Locus,Nr 60.2,Nr 60.5 Locus,Nr 60.5,Nr 60.11 Locus,Nr 60.11,Nr 60.34 Locus,Nr 60.34
216,56B_s,304,310,230,244,254,258,392,392,333,341,236,236,431,437,222,222
217,56B_s,264,270,250,260,242,242,392,392,335,369,210,216,431,433,236,246
218,56B_s,300,310,230,246,254,270,392,392,333,341,232,236,437,449,222,228
219,56B_s,310,342,244,254,270,274,366,366,329,333,210,228,429,443,226,240
220,56B_s,304,312,242,244,258,258,398,400,333,333,224,236,431,443,266,266
221,56B_s,238,260,238,260,262,270,392,404,329,329,210,226,415,429,264,264
222,56B_s,230,244,230,244,254,258,392,406,333,333,224,236,437,443,228,272
223,56B_s,302,316,242,260,246,270,366,404,329,353,224,224,429,443,226,240
224,56B_s,302,304,256,256,246,266,392,398,331,335,210,240,419,429,332,334
225,56B_s,300,306,254,258,254,270,392,392,331,333,210,216,437,443,224,226
