,Enclosure,Nr 52.2 Locus,Nr 52.2,Nr 52.4 Locus,Nr 52.4,Nr 52.7 Locus,Nr 52.7,Nr 52.11 Locus,Nr 52.11,Nr 60.2 Locus,Nr 60.2,Nr 60.5 Locus,Nr 60.5,Nr 60.11 Locus,Nr 60.11,Nr 60.34 Locus,Nr 60.34
109,44_s,308,318,242,250,254,262,390,396,333,345,222,224,429,429,220,220
110,44_s,284,304,246,262,262,270,388,388,331,333,210,230,429,449,220,230
111,44_s,304,316,230,254,250,270,410,418,333,349,212,224,423,431,240,242
112,44_s,302,314,256,260,258,274,396,398,333,335,224,232,431,431,240,240
113,44_s,304,310,260,260,258,274,480,482,335,343,208,234,423,423,220,238
114,44_s,296,314,234,260,258,266,386,394,333,337,226,238,423,429,244,284
115,44_s,230,256,230,266,258,274,394,412,335,335,218,224,415,429,246,246
116,44_s,296,314,250,254,246,250,386,386,345,365,214,220,421,433,220,234
117,44_s,300,302,258,266,254,266,368,398,341,343,222,224,425,449,240,240
118,44_s,296,306,254,260,258,266,392,394,343,347,226,238,423,423,220,244
119,44_s,308,318,242,250,254,262,388,394,333,345,222,224,429,439,218,220
120,44_s,316,318,242,258,254,270,388,414,333,343,220,222,429,451,222,260
121,44_s,278,316,248,258,258,274,398,398,351,355,232,238,423,431,246,270
122,44_s,300,300,244,254,258,258,388,396,355,363,222,222,431,431,258,260
123,44_s,304,310,230,260,258,274,398,404,345,349,216,224,421,427,220,240
124,44_s,300,316,258,258,258,258,396,402,337,339,232,234,421,433,228,270
125,44_s,302,314,234,260,234,246,372,396,333,335,224,234,431,449,218,220
126,44_s,268,316,230,260,230,268,386,402,349,357,214,222,423,429,234,240
127,44_s,296,316,264,266,274,274,410,410,333,343,210,234,431,433,240,270
128,44_s,284,306,246,254,258,262,388,392,333,333,230,238,423,429,220,220
