,Enclosure,Nr 52.2 Locus,Nr 52.2,Nr 52.4 Locus,Nr 52.4,Nr 52.7 Locus,Nr 52.7,Nr 52.11 Locus,Nr 52.11,Nr 60.2 Locus,Nr 60.2,Nr 60.5 Locus,Nr 60.5,Nr 60.11 Locus,Nr 60.11,Nr 60.34 Locus,Nr 60.34
407,61B_e,288,288,230,252,246,286,390,390,331,335,204,212,423,435,220,220
408,61B_e,294,308,230,256,254,298,380,386,325,339,232,238,419,423,232,234
409,61B_e,288,288,250,266,262,266,408,408,331,333,232,250,443,447,234,264
410,61B_e,288,290,250,250,266,286,390,392,337,347,248,248,445,445,222,240
411,61B_e,288,316,242,266,242,246,324,394,331,331,250,250,431,441,222,234
412,61B_e,288,294,230,256,254,286,380,390,331,339,250,268,419,433,240,244
413,61B_e,288,314,246,254,246,286,392,392,335,339,220,268,427,435,220,220
414,61B_e,288,314,254,260,266,286,392,404,325,335,212,212,419,435,220,220
