,Label,Enclosure,Nr 52.2,Nr 52.4,Nr 52.7,Nr 52.11,Nr 60.2,Nr 60.5,Nr 60.11,Nr 60.34
22,ARC074,43A_e,292,252,262,404,343,230,455,232
23,ARC110,43A_e,306,250,266,400,339,214,429,230
24,ARC126,43A_e,312,252,266,400,353,242,437,234
25,ARC347,43A_e,296,260,274,400,343,208,433,240
26,ARC348,43A_e,308,262,274,398,343,228,437,240
27,ARC385,43A_e,292,254,274,398,359,228,423,240
28,ARC487,43A_e,304,264,274,394,343,220,421,284
29,ARC495,43A_e,304,246,270,398,339,254,455,248
30,ARC528,43A_e,282,252,258,406,331,210,431,242
31,ARC575,43A_e,310,246,266,398,351,220,429,280
32,ARC582,43A_e,308,254,254,410,345,228,423,232
33,ARC583,43A_e,308,262,274,396,343,236,433,240
34,ARC584,43A_e,300,254,254,398,335,236,439,240
35,ARC595,43A_e,306,262,266,398,339,226,439,232
36,ARC659,43A_e,308,254,274,398,339,228,429,240
