,Label,Enclosure,Nr 52.2,Nr 52.4,Nr 52.7,Nr 52.11,Nr 60.2,Nr 60.5,Nr 60.11,Nr 60.34
415,ARC029,61B_n,312,242,278,400,349,226,449,218
416,ARC043,61B_n,312,256,274,408,333,224,431,222
417,ARC078,61B_n,312,252,274,404,333,220,419,220
418,ARC079,61B_n,306,260,254,386,331,228,439,244
419,ARC092,61B_n,306,250,266,394,333,222,423,216
420,ARC104,61B_n,304,242,274,386,365,220,449,272
421,ARC115,61B_n,312,258,274,392,343,220,437,220
422,ARC116,61B_n,290,230,274,400,339,230,437,220
423,ARC132,61B_n,310,258,266,390,349,220,421,222
424,ARC133,61B_n,310,230,278,394,335,246,427,248
425,ARC134,61B_n,310,248,278,400,335,226,431,264
426,ARC179,61B_n,294,260,274,400,339,220,419,222
427,ARC195,61B_n,310,258,274,392,349,226,439,236
428,ARC212,61B_n,242,242,270,422,331,228,443,220
429,ARC373,61B_n,344,246,262,406,357,226,429,244
430,ARC374,61B_n,314,258,282,408,337,220,443,254
431,ARC506,61B_n,322,254,274,396,349,220,431,224
432,ARC536,61B_n,314,258,256,392,335,202,437,270
433,ARC588,61B_n,312,260,276,392,333,228,419,228
434,ARC631,61B_n,302,248,266,356,343,220,421,222
435,ARC675,61B_n,310,246,258,384,329,220,431,266
